Maipu&,578605,7041,1216.9,130,22.5,1071,185.1,1067,184.4,011349,71,78,90115,145,405,855,1227,1417,1354,1007,2140
Maria Pinto& ,14926 ,114 ,763.8 ,1 ,6.7 ,7 ,46.9 ,7 ,46.9 ,0 0 0 O ,O ,0 ,1 0 ,2 ,1 ,17 ,23 ,32 ,30 ,6 ,2 0 
Melipilla& ,141612 ,1528 ,1079.0 ,29 ,20.5 ,331 ,233.7 ,326 ,230.2 ,0 1 1 5 ,5 ,5 ,8 22 ,34 ,80 ,94 ,181 ,299 ,420 ,300 ,73 0 
Nunoa& ,250192 ,3184 ,1272.6 ,74 ,29.6 ,512 ,204.6 ,506 ,202.2 ,1 1 27 53 ,39 ,47 ,45 65 ,66 ,146 ,345 ,511 ,705 ,561 ,452 ,120 0 
Padre Hurtado& ,74188 ,838 ,1129.6 ,18 ,24.3 ,114 ,153.7 ,113 ,152.3 ,0 1 O 5 ,9 ,5 ,12 9 ,16 ,53 ,92 ,151 ,197 ,161 ,101 ,26 0 
Paine& ,82766 ,564 ,681.4 ,6 ,7.2 ,139 ,167.9 ,139 ,167.9 ,0 1 1 3 ,O ,4 ,5 3 ,5 ,25 ,76 ,81 ,108 ,91 ,131 ,30 0 
Pedro Aguirre Cerda& ,107803 ,2171 ,2013.9 ,55 ,51.0 ,308 ,285.7 ,305 ,282.9 ,0 0 4 4 ,15 ,23 ,45 32 ,71 ,162 ,346 ,396 ,323 ,402 ,316 ,32 0 
Penaflor& ,101058 ,1006 ,995.5 ,25 ,24.7 ,119 ,117.8 ,118 ,116.8 ,1 1 5 3 ,9 ,5 ,9 14 ,26 ,44 ,102 ,176 ,271 ,208 ,115 ,17 0 
Pefalolen& ,266798 ,6811 ,2552.9 ,113 ,42.4 ,892 ,334.3 ,884 ,331.3 ,1 3 9 27 ,34 ,39 ,51 66 ,118 ,388 ,908 ,1277 ,1518 ,1334 ,889 ,149 0 
Pirque& ,30433 ,453 ,1488.5 ,2 ,6.6 ,43 ,141.3 ,43 ,141.3 ,0 1 3 1 ,4 ,1 ,5 5 ,16 ,33 ,45 ,64 ,133 ,86 ,45 ,11 0 
Providencia& ,157749 ,1821 ,1154.4 ,61 ,38.7 ,198 ,125.5 ,196 ,124.2 ,0 3 29 61 ,20 ,22 ,30 34 ,36 ,91 ,230 ,299 ,369 ,373 ,179 ,45 0 
Pudahuel& ,253139 ,4840 ,1912.0 ,85 ,33.6 ,529 ,209.0 ,522 ,206.2 ,1 2 2 19 ,24 ,32 ,36 43 ,130 ,320 ,624 ,916 ,1135 ,911 ,524 ,121 0 
Puente Alto& ,645909 ,12212 ,1890.7 ,183 ,28.3 ,1876 ,290.4 ,1866 ,288.9 ,2 2 9 59 ,98 ,166 ,186 298 ,347 ,786 ,1541 ,2032 ,2338 ,2186 ,1829 ,333 0 
Quilicura& ,254694 ,5053 ,1983.9 ,53 ,20.8 ,664 ,260.7 ,663 ,260.3 ,O 6 4 20 ,27 ,42 ,41 129 ,303 ,502 ,690 ,867 ,807 ,842 ,643 ,130 0 
Quinta Normal& ,136368 ,2989 ,2191.9 ,68 ,49.9 ,284 ,208.3 ,280 ,205.3 ,O 2 5 14 ,25 ,37 ,49 50 ,98 ,248 ,424 ,530 ,619 ,536 ,296 ,56 0 
Recoleta& ,190075 ,5124 ,2695.8 ,135 ,71.0 ,454 ,238.9 ,451 ,237.3 ,0 0 5 14 ,15 ,33 ,39 105 ,266 ,693 ,1065 ,976 ,815 ,588 ,386 ,124 0 
Renca& ,160847 ,3567 ,2217.6 ,71 ,44.1 ,412 ,256.1 ,412 ,256.1 ,0 0 4 7 ,12 ,7 ,33 63 ,104 ,271 ,592 ,641 ,753 ,608 ,395 ,77 0 
San Bernardo& ,334836 ,5280 ,1576.9 ,115 ,34.3 ,763 ,227.9 ,749 ,223.7 ,1 2 6 21 ,37 ,65 ,74 120 ,152 ,315 ,636 ,851 ,988 ,1113 ,770 ,129 0 
San Joaquin& ,103485 ,2712 ,2620.7 ,62 ,59.9 ,375 ,362.4 ,373 ,360.4 ,0 3 1 14 ,22 ,13 ,37 40 ,79 ,221 ,494 ,616 ,380 ,362 ,326 ,104 0 
San Jose de Maipo& ,18644 ,342 ,1834.4 ,14 ,75.1 ,61 ,327.2 ,60 ,321.8 ,0 0 1 1 ,1 ,2 ,2 1 ,4 ,22 ,40 ,53 ,88 ,57 ,60 ,10 0 
San Miguels ,133059 ,2796 ,2101.3 ,50 ,37.6 ,405 ,304.4 ,403 ,302.9 ,0 0 3 24 ,21 ,25 ,44 47 ,73 ,190 ,408 ,484 ,537 ,483 ,376 ,81 0 
San Pedro8 ,11953 ,77 ,644.2 ,2 ,16.7 ,8 ,66.9 ,8 ,66.9 ,0 0 0 0 ,0 ,0 ,0 2 ,10 ,7 ,8 ,13 ,14 ,12 ,11 ,0 0 
San Ramon& ,86510 ,2549 ,2946.5 ,76 ,87.9 ,310 ,358.3 ,308 ,356.0 ,0 0 1 5 ,11 ,10 ,13 41 ,89 ,238 ,435 ,518 ,449 ,360 ,349 ,30 0 
Santiago8 ,503147 ,9412 ,1870.6 ,117 ,23.3 ,997 ,198.2 ,990 ,196.8 ,1 2 29 96 ,99 ,140 ,159 170 ,368 ,914 ,1611 ,1616 ,1705 ,1365 ,918 ,219 0 
Talagante8 ,81838 ,602 ,735.6 ,13 ,15.9 ,122 ,149.1 ,122 ,149.1 ,0 0 0 4 ,8 ,7 ,3 10 ,8 ,37 ,55 ,90 ,106 ,124 ,120 ,30 0 
Tiltil& ,21477 ,226 ,1052.3 ,4 ,18.6 ,38 ,176.9 ,38 ,176.9 ,0 0 0 2 ,1 ,2 ,1 1 ,3 ,7 ,31 ,37 ,50 ,46 ,37 ,8 0 
Vitacura& ,96774 ,992 ,1025.1 ,18 ,18.6 ,129 ,133.3 ,129 ,133.3 ,O 7 32 47 ,29 ,12 ,6 5 ,13 ,56 ,149 ,200 ,165 ,127 ,106 ,38 0 
