,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 ,SE 20 ,SE SE 21 22 ,SE SE SE 23 24 25 
Chepica& ,15925 ,21 ,131.9 ,0 ,0.0 ,10 ,62.8 ,10 ,62.8 ,O 0 O O 0 O O O O O O ,7 ,O 3 ,2 9 0 
Chimbarongo ,37696 ,46 ,122.0 ,1 ,2.7 ,12 ,31.8 ,12 ,31.8 ,0 0 0 1 1 O 0 0 0 1 5 ,13 ,8 5 ,10 2 0 
Codegua ,14096 ,25 ,177.4 ,0 ,0.0 ,5 ,35.5 ,5 ,35.5 ,0 O 0 1 0 0 0 O 0 0 1 ,3 ,7 8 ,5 0 0 
Coinco& ,7831 ,26 ,332.0 ,1 ,12.8 ,1 ,12.8 ,1 ,12.8 ,0 0 0 0 0 O O 0 1 0 4 ,10 ,8 2 ,1 O O 
Coltauco8 ,21263 ,39 ,183.4 ,2 ,9.4 ,2 ,9.4 ,2 ,9.4 ,0 0 O 0 0 O 0 O O 0 15 ,8 ,12 1 ,2 1 0 
Donihue ,22700 ,56 ,246.7 ,2 ,8.8 ,9 ,39.6 ,9 ,39.6 ,0 0 0 0 0 0 0 1 0 5 9 ,15 ,12 5 ,7 2 0 
Graneros8 ,36504 ,96 ,263.0 ,1 ,2.7 ,16 ,43.8 ,16 ,43.8 ,0 0 0 0 0 0 O 0 3 7 13 ,19 ,23 13 ,14 4 O 
La Estrella ,3114 ,7 ,224.8 ,0 ,0.0 ,6 ,192.7 ,6 ,192.7 ,0 0 0 0 0 0 0 0 0 0 0 ,0 ,0 1 ,4 2 0 
Las Cabras ,26749 ,26 ,97.2 ,0 ,0.0 ,3 ,11.2 ,3 ,11.2 ,0 0 0 0 0 0 1 2 4 3 2 ,4 ,3 4 ,3 0 0 
Litueche ,6765 ,21 ,310.4 ,1 ,14.8 ,8 ,118.3 ,8 ,118.3 ,0 0 0 O 0 O 0 1 5 2 2 ,1 ,O 1 ,6 3 O 
Lolol& ,7289 ,15 ,205.8 ,0 ,0.0 ,3 ,41.2 ,3 ,41.2 ,0 0 0 0 0 0 0 0 0 0 1 ,2 ,O 9 ,2 1 0 
Machalis ,59913 ,119 ,198.6 ,2 ,3.3 ,27 ,45.1 ,26 ,43.4 ,0 0 1 4 2 O 4 0 5 4 7 ,17 ,18 23 ,23 11 O 
Malloa& ,14163 ,9 ,63.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 0 0 0 0 0 1 ,3 ,1 4 ,0 0 0 
Marchihue ,7632 ,7 ,91.7 ,0 ,0.0 ,3 ,39.3 ,3 ,39.3 ,0 0 0 O 0 0 0 0 O 0 O ,0 ,1 3 ,0 3 0 
Mostazal& ,27462 ,48 ,174.8 ,2 ,7.3 ,5 ,18.2 ,5 ,18.2 ,0 0 0 0 0 O 0 0 O 3 4 ,6 ,12 17 ,6 0 0 
Nancagua& ,19141 ,43 ,224.6 ,0 ,0.0 ,16 ,83.6 ,16 ,83.6 ,0 0 0 0 0 0 0 0 0 1 1 ,11 ,5 9 ,7 9 0 
Navidad& ,6904 ,27 ,391.1 ,0 ,0.0 ,9 ,130.4 ,9 ,130.4 ,0 0 0 0 0 0 0 0 3 0 6 ,2 ,6 1 ,6 3 0 
Olivar& ,14624 ,36 ,246.2 ,1 ,6.8 ,3 ,20.5 ,3 ,20.5 ,0 0 0 0 2 2 2 1 O 0 7 ,4 ,12 3 ,2 1 0 
Palmilla& ,13299 ,10 ,75.2 ,0 ,0.0 ,5 ,37.6 ,5 ,37.6 ,0 0 0 0 0 0 0 0 0 0 O ,2 ,2 1 ,4 1 0 
