,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE SE SE SE 21 22 23 24 25 
Cauquenes ,44143 ,164 ,371.5 ,2 ,4.5 ,64 ,145.0 ,63 ,142.7 ,0 0 0 O 2 3 1 5 ,2 1 4 ,12 ,15 52 43 24 0 
Chanco ,9331 ,13 ,139.3 ,0 ,0.0 ,8 ,85.7 ,8 ,85.7 ,0 0 O O 1 O O 1 ,1 0 1 ,0 ,1 O 7 1 0 
Colbun ,22565 ,60 ,265.9 ,0 ,0.0 ,12 ,53.2 ,12 ,53.2 ,0 0 0 0 3 3 0 0 ,0 1 4 ,9 ,12 14 10 4 0 
Constitucion ,50348 ,62 ,123.1 ,O ,0.0 ,21 ,41.7 ,21 ,41.7 ,0 0 0 0 3 3 5 7 ,4 1 2 ,3 ,5 6 17 6 0 
Curepto ,9426 ,14 ,148.5 ,1 ,10.6 ,1 ,10.6 ,1 ,10.6 ,O O 0 O O 3 2 3 ,O 1 1 ,2 ,O 1 O 1 0 
Curico& ,163626 ,780 ,476.7 ,6 ,3.7 ,299 ,182.7 ,298 ,182.1 ,O 1 3 3 6 3 12 9 ,10 11 19 ,42 ,148 189 256 68 O 
Empedrado ,4206 ,3 ,71.3 ,O ,0.0 ,3 ,71.3 ,3 ,71.3 ,0 0 0 O O O 0 0 ,O 0 0 ,0 ,O O 2 1 0 
Hualane& ,10222 ,81 ,792.4 ,1 ,9.8 ,30 ,293.5 ,29 ,283.7 ,0 O 0 O O 0 0 1 ,O 0 O ,3 ,15 29 26 7 0 
Licanten ,6989 ,8 ,114.5 ,0 ,0.0 ,4 ,57.2 ,4 ,57.2 ,O O 0 O O 1 O 1 ,O 0 O ,0 ,O 2 2 2 O 
Linares ,101073 ,162 ,160.3 ,1 ,1.0 ,51 ,50.5 ,51 ,50.5 ,1 O 0 2 5 5 4 6 ,3 4 12 ,17 ,18 27 37 21 0 
Longavi& ,32810 ,94 ,286.5 ,1 ,3.0 ,40 ,121.9 ,40 ,121.9 ,O O 0 1 0 1 1 1 ,O 2 5 ,11 ,11 21 25 15 0 
Maule ,60000 ,111 ,185.0 ,0 ,0.0 ,26 ,43.3 ,26 ,43.3 ,0 O 0 1 1 2 6 12 ,2 0 3 ,13 ,13 27 25 6 0 
Molina ,49800 ,62 ,124.5 ,1 ,2.0 ,21 ,42.2 ,21 ,42.2 ,O O 0 1 2 0 1 3 ,O 0 2 ,4 ,9 18 20 2 0 
Parral8 ,44544 ,143 ,321.0 ,0 ,0.0 ,25 ,56.1 ,25 ,56.1 ,O O O 1 3 2 2 1 ,0 0 6 ,5 ,41 54 20 8 0 
Pelarco& ,9083 ,33 ,363.3 ,0 ,0.0 ,6 ,66.1 ,6 ,66.1 ,O O 0 O O 0 3 2 ,O 2 4 ,5 ,4 5 6 2 0 
Pelluhue ,8092 ,32 ,395.5 ,0 ,0.0 ,12 ,148.3 ,12 ,148.3 ,O O 0 1 O 0 1 0 ,O 0 1 ,6 ,1 9 12 1 0 
Pencahue ,8601 ,18 ,209.3 ,0 ,0.0 ,2 ,23.3 ,2 ,23.3 ,O O O O O 0 0 3 ,O 0 O ,0 ,8 4 2 1 0 
Rauco& ,11248 ,28 ,248.9 ,0 ,0.0 ,10 ,88.9 ,10 ,88.9 ,0 O 0 0 1 1 0 1 ,0 0 1 ,1 ,7 6 6 4 0 
Retiro ,21071 ,78 ,370.2 ,0 ,0.0 ,15 ,71.2 ,15 ,71.2 ,1 O 0 O O 0 1 0 ,O 1 O ,1 ,17 41 12 4 0 
Rio Claro ,14753 ,26 ,176.2 ,2 ,13.6 ,3 ,20.3 ,3 ,20.3 ,O O 0 2 O 1 1 3 ,2 O 2 ,2 ,1 8 3 1 0 
