,,,,,,,,,NumerodeCasos,segunFechade,Iniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE SE SE SE 21 22 23 24 25 
Bulnes ,22607 ,205 ,906.8 ,3 ,13.3 ,15 ,66.4 ,15 ,66.4 ,0 0 0 10 ,27 10 ,7 7 ,6 9 23 ,43 ,26 18 15 4 0 
Chillan ,198624 ,807 ,406.3 ,7 ,3.5 ,156 ,78.5 ,156 ,78.5 ,0 1 28 119 ,116 76 ,33 25 ,17 15 20 ,62 ,58 70 101 66 0 
Chillan Viejo ,33827 ,130 ,384.3 ,1 ,3.0 ,26 ,76.9 ,26 ,76.9 ,0 0 5 7 ,19 7 ,14 3 ,1 O 4 ,16 ,22 6 17 9 O 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 O ,0 O ,O O ,0 0 0 ,0 ,O O 0 O 0 
Coelemu ,16845 ,35 ,207.8 ,0 ,0.0 ,12 ,71.2 ,12 ,71.2 ,0 0 0 0 ,2 2 ,0 O ,O 0 0 ,2 ,7 10 6 6 O 
Coihueco ,28375 ,62 ,218.5 ,3 ,10.6 ,9 ,31.7 ,8 ,28.2 ,0 0 O 2 ,3 4 ,6 12 ,12 3 1 ,8 ,1 1 4 5 O 
EI Carmen& ,12334 ,31 ,251.3 ,O ,0.0 ,5 ,40.5 ,5 ,40.5 ,0 0 0 2 ,O 1 ,0 O ,0 0 1 ,3 ,7 12 3 2 O 
Ninhue ,5414 ,15 ,277.1 ,1 ,18.5 ,4 ,73.9 ,4 ,73.9 ,0 0 0 0 ,O 2 ,0 2 ,O 0 0 ,1 ,3 2 1 4 0 
Niquen ,11567 ,41 ,354.5 ,1 ,8.6 ,20 ,172.9 ,20 ,172.9 ,0 0 0 1 ,0 1 ,2 O ,0 1 0 ,4 ,3 9 13 7 0 
Pemuco ,8639 ,20 ,231.5 ,0 ,0.0 ,6 ,69.5 ,6 ,69.5 ,0 0 0 1 ,0 4 ,1 O ,0 0 3 ,1 ,O 4 2 4 0 
Pinto ,11880 ,18 ,151.5 ,0 ,0.0 ,1 ,8.4 ,1 ,8.4 ,0 0 0 2 ,3 5 ,1 1 ,0 0 0 ,3 ,O 2 1 0 0 
Portezuelo ,4940 ,7 ,141.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 1 ,4 ,2 0 0 0 0 
Quillon ,18777 ,95 ,505.9 ,2 ,10.7 ,35 ,186.4 ,34 ,181.1 ,0 0 0 8 ,8 8 ,1 0 ,2 2 2 ,9 ,6 13 24 12 0 
Quirihue ,12192 ,23 ,188.6 ,O ,0.0 ,2 ,16.4 ,2 ,16.4 ,0 0 0 0 ,1 2 ,0 1 ,0 1 7 ,4 ,1 4 1 1 0 
Ranquil ,6261 ,12 ,191.7 ,0 ,0.0 ,1 ,16.0 ,1 ,16.0 ,0 0 0 1 ,3 6 ,0 O ,0 0 1 ,0 ,0 O 1 0 0 
San Carlos ,56252 ,158 ,280.9 ,2 ,3.6 ,60 ,106.7 ,60 ,106.7 ,0 0 2 5 ,10 9 ,2 3 ,3 3 7 ,9 ,15 28 45 17 0 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 3 ,3 1 ,0 1 ,0 0 0 ,0 ,O O 0 0 0 
San Ignacio ,16624 ,65 ,391.0 ,1 ,6.0 ,35 ,210.5 ,35 ,210.5 ,0 0 0 2 ,2 1 ,0 1 ,3 3 0 ,2 ,7 9 8 27 0 
San Nicolas ,12172 ,43 ,353.3 ,1 ,8.2 ,7 ,57.5 ,7 ,57.5 ,0 0 0 2 ,6 5 ,4 O ,0 0 2 ,2 ,6 8 6 2 0 
Treguaco ,5696 ,3 ,52.7 ,O ,0.0 ,2 ,35.1 ,2 ,35.1 ,0 O 0 O ,O O ,O O ,O O 0 ,1 ,O O 1 1 O 
Yungay ,18596 ,72 ,387.2 ,O ,0.0 ,6 ,32.3 ,6 ,32.3 ,0 0 0 3 ,16 21 ,3 4 ,6 2 2 ,2 ,O 7 2 4 0 
