,,,,,,,,,Numerode,CasossegunFecha,deInicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE 14 15 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 ,SE SE SE 23 24 25 
Alto Biobio& ,6775 ,132 ,1948.3 ,0 ,0.0 ,32 ,472.3 ,32 ,472.3 ,0 0 0 0 ,0 ,0 0 0 ,0 0 0 ,7 ,43 49 ,27 6 0 
Antuco ,4306 ,24 ,557.4 ,0 ,0.0 ,6 ,139.3 ,6 ,139.3 ,0 0 0 0 ,0 ,0 0 0 ,0 0 2 ,2 ,1 13 ,2 4 0 
Arauco ,38679 ,91 ,235.3 ,1 ,2.6 ,22 ,56.9 ,21 ,54.3 ,0 O 1 2 ,2 ,1 0 0 ,0 5 4 ,13 ,16 23 ,14 10 0 
Cabrero ,30725 ,45 ,146.5 ,0 ,0.0 ,13 ,42.3 ,13 ,42.3 ,0 O 0 1 ,0 ,4 3 7 ,1 3 4 ,2 ,3 3 ,8 6 0 
Canete ,37003 ,21 ,56.8 ,0 ,0.0 ,7 ,18.9 ,7 ,18.9 ,0 O O 0 ,0 ,O 0 0 ,0 0 0 ,1 ,9 4 ,7 0 0 
Chiguayante ,91180 ,163 ,178.8 ,3 ,3.3 ,39 ,42.8 ,39 ,42.8 ,O O 5 5 ,9 ,16 11 10 ,11 8 6 ,8 ,8 24 ,24 18 0 
Concepcion& ,238092 ,541 ,227.2 ,4 ,1.7 ,168 ,70.6 ,168 ,70.6 ,1 1 6 28 ,28 ,23 21 18 ,14 19 19 ,20 ,85 83 ,86 89 0 
Contulmo ,6330 ,1 ,15.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O 0 ,0 ,0 0 O ,O 0 0 ,0 ,0 1 ,O 0 0 
Coronel ,125829 ,309 ,245.6 ,1 ,0.8 ,95 ,75.5 ,95 ,75.5 ,0 O 1 6 ,6 ,4 1 O ,5 2 14 ,14 ,49 104 ,64 39 0 
Curanilahue ,33892 ,26 ,76.7 ,1 ,3.0 ,15 ,44.3 ,14 ,41.3 ,O O O 1 ,0 ,O O O ,0 1 3 ,0 ,2 4 ,10 5 0 
Florida ,11841 ,7 ,59.1 ,O ,0.0 ,1 ,8.4 ,1 ,8.4 ,0 0 0 O ,2 ,1 0 0 ,0 0 2 ,0 ,1 0 ,0 1 0 
Hualpen ,97273 ,217 ,223.1 ,2 ,2.1 ,34 ,35.0 ,34 ,35.0 ,0 0 3 24 ,33 ,26 17 8 ,2 5 11 ,9 ,14 29 ,17 19 0 
Hualqui8 ,26201 ,56 ,213.7 ,O ,0.0 ,8 ,30.5 ,8 ,30.5 ,O O 1 1 ,2 ,3 4 9 ,O 1 2 ,5 ,12 7 ,7 2 O 
Laja ,23873 ,76 ,318.4 ,O ,0.0 ,10 ,41.9 ,10 ,41.9 ,0 1 1 O ,3 ,1 1 1 ,5 1 17 ,20 ,8 7 ,5 5 O 
Lebu ,27100 ,11 ,40.6 ,O ,0.0 ,2 ,7.4 ,2 ,7.4 ,O O 0 O ,0 ,0 0 0 ,O 1 1 ,0 ,O 6 ,1 2 0 
Los Alamos ,22524 ,7 ,31.1 ,O ,0.0 ,4 ,17.8 ,4 ,17.8 ,O O O O ,O ,O 1 0 ,O 0 O ,1 ,O 1 ,2 2 O 
Los Angeles& ,218515 ,400 ,183.1 ,1 ,0.5 ,87 ,39.8 ,87 ,39.8 ,0 O 4 7 ,9 ,6 5 4 ,O 4 32 ,62 ,89 76 ,78 24 O 
Lota& ,45750 ,88 ,192.3 ,0 ,0.0 ,24 ,52.5 ,24 ,52.5 ,0 O O 1 ,0 ,0 0 0 ,O 1 16 ,10 ,14 21 ,17 8 0 
Mulchen ,31041 ,27 ,87.0 ,0 ,0.0 ,4 ,12.9 ,4 ,12.9 ,0 O 0 1 ,4 ,0 0 O ,O 2 3 ,1 ,1 11 ,2 2 0 
Nacimiento ,27944 ,58 ,207.6 ,0 ,0.0 ,17 ,60.8 ,17 ,60.8 ,0 0 0 2 ,3 ,3 2 O ,1 3 8 ,4 ,8 7 ,5 12 0 
