Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,1651 ,1.8 ,272.2 ,1477 ,1.7 ,253.0 ,3128 ,1.7 ,262.8 
05 09 anos ,1200 ,1.3 ,183.8 ,1124 ,1.3 ,178.5 ,2324 ,1.3 ,181.2 
10 14 anos ,1420 ,1.5 ,220.5 ,1383 ,1.6 ,222.6 ,2803 ,1.6 ,221.5 
15 19 anos ,2455 ,2.6 ,383.2 ,2715 ,3.2 ,438.3 ,5170 ,2.9 ,410.3 
20 24 anos ,7089 ,7.5 ,967.1 ,6852 ,8.0 ,964.8 ,13941 ,7.8 ,966.0 
25 29 anos ,11878 ,12.6 ,1418.5 ,11231 ,13.2 ,1383.5 ,23109 ,12.9 ,1401.3 
30 34 anos ,12240 ,13.0 ,1510.7 ,10729 ,12.6 ,1365.0 ,22969 ,12.8 ,1439.0 
35 39 anos ,10176 ,10.8 ,1402.9 ,8522 ,10.0 ,1200.5 ,18698 ,10.4 ,1302.8 
40 44 anos ,8427 ,8.9 ,1247.9 ,7062 ,8.3 ,1051.3 ,15489 ,8.6 ,1149.9 
45 49 anos ,8146 ,8.6 ,1290.7 ,7373 ,8.7 ,1151.4 ,15519 ,8.6 ,1220.5 
50 54 anos ,7772 ,8.3 ,1293.1 ,6858 ,8.0 ,1100.1 ,14630 ,8.2 ,1194.8 
55 59 anos ,7244 ,7.7 ,1305.5 ,6175 ,7.2 ,1045.5 ,13419 ,7.5 ,1171.5 
60 64 anos ,5378 ,5.7 ,1141.7 ,4299 ,5.0 ,829.3 ,9677 ,5.4 ,978.1 
65 69 anos ,3269 ,3.5 ,869.8 ,2807 ,3.3 ,644.3 ,6103 ,3.4 ,749.2 
70 74 anos ,2353 ,2.5 ,891.0 ,2155 ,2.5 ,674.9 ,4508 ,2.5 ,772.7 
75 79 anos ,1608 ,1.7 ,911.6 ,1621 ,1.9 ,682.8 ,3229 ,1.8 ,780.4 
80 y mas anos ,1868 ,2.0 ,950.5 ,2846 ,3.3 ,812.4 ,4714 ,2.6 ,862.1 
Total ,94201 ,100 ,981.4 ,85229 ,100 ,864.5 ,179430 ,100 ,922.1 
