,,,,,,,,,NumerodeCasos,segunFechadeInicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE 16 17 ,SE 18 ,SE SE SE 19 20 21 ,SE SE SE 22 23 24 
Antartica ,137 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,0 0 ,O 0 ,0 ,0 0 0 ,O 0 0 
Cabo de Hornos ,1983 ,21 ,1059.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 2 6 4 ,1 6 ,O O ,O 1 ,0 1 ,O 0 O 
Laguna Blanca ,264 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,O 0 ,O O ,O ,0 0 O ,O 0 0 
Natales8 ,23782 ,15 ,63.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 1 3 2 ,0 1 ,1 0 ,2 ,0 3 2 ,O 0 0 
Porvenir ,7323 ,9 ,122.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 3 ,1 2 ,2 0 ,0 1 ,0 0 ,O 0 0 
Primavera ,694 ,2 ,288.2 ,0 ,0.0 ,1 ,144.1 ,1 ,144.1 ,0 0 0 0 O ,O 1 ,O O ,O ,0 O O ,O 1 O 
Punta Arenas ,141984 ,1136 ,800.1 ,16 ,11.3 ,109 ,76.8 ,109 ,76.8 ,O 2 6 65 121 ,146 153 ,132 85 ,108 ,82 51 49 ,23 33 80 
Rio Verde ,211 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,0 0 ,0 0 ,0 ,0 0 0 ,O 0 0 
San Gregorio ,681 ,2 ,293.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,0 0 ,0 O ,0 ,2 0 0 ,0 0 0 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,0 0 ,0 0 ,0 ,0 0 O ,O 0 O 
Torres del Paine ,1021 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,0 0 ,0 0 ,0 ,0 0 0 ,O 0 0 
Total ,178362 ,1185 ,664.4 ,16 ,9.0 ,110 ,61.7 ,110 ,61.7 ,0 2 9 74 130 ,148 163 ,135 85 ,110 ,86 54 52 ,23 34 80 
