,,,,,,,Numero,deCasos,segunFecha,deIniciode,Sintomas.,NotificacionOTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE SE SE SE SE SE SE 15 16 17 18 19 20 21 22 23 ,SE SE 24 25 
Alto del Carmen ,5729 ,5 ,87.3 ,0 ,0.0 ,3 ,52.4 ,3 ,52.4 ,O O O ,0 0 O ,O 0 O O O 0 O 1 3 ,1 O 
Caldera ,19426 ,18 ,92.7 ,0 ,0.0 ,7 ,36.0 ,7 ,36.0 ,O O O ,O 0 0 ,O O 0 2 2 1 1 3 2 ,4 3 
Chanaral ,13164 ,6 ,45.6 ,0 ,0.0 ,4 ,30.4 ,4 ,30.4 ,O 0 0 ,0 0 0 ,O 0 O O O 0 1 0 2 ,3 O 
Copiapo& ,171766 ,397 ,231.1 ,0 ,0.0 ,158 ,92.0 ,158 ,92.0 ,O O 1 ,0 2 1 ,4 O 12 27 27 14 25 58 109 ,96 21 
Diego de Almagro ,14358 ,31 ,215.9 ,0 ,0.0 ,13 ,90.5 ,13 ,90.5 ,1 0 O ,0 1 0 ,0 0 0 1 1 4 3 6 6 ,8 0 
Freirina ,7681 ,4 ,52.1 ,0 ,0.0 ,3 ,39.1 ,3 ,39.1 ,O O 0 ,O 0 0 ,O 1 0 O O 0 O 0 2 ,0 1 
Huasco ,11264 ,11 ,97.7 ,0 ,0.0 ,4 ,35.5 ,4 ,35.5 ,O 0 0 ,0 O O ,O O O 1 O 0 0 2 6 ,2 O 
Tierra Amarilla& ,14312 ,42 ,293.5 ,0 ,0.0 ,12 ,83.8 ,12 ,83.8 ,O O 0 ,O 0 2 ,3 0 2 5 10 2 O 1 7 ,9 1 
Vallenar ,57009 ,138 ,242.1 ,0 ,0.0 ,51 ,89.5 ,51 ,89.5 ,O 0 0 ,O 0 O ,1 9 11 9 13 2 6 15 25 ,36 11 
Desconocido ,- ,7 ,- ,0 ,- ,4 ,- ,4 ,- ,O O O ,O 0 O ,O O O O 2 O 1 O 1 ,3 O 
Total ,314709 ,659 ,209.4 ,0 ,0.0 ,259 ,82.3 ,259 ,82.3 ,1 0 1 ,0 3 3 ,8 10 25 45 55 23 37 86 163 ,162 37 
