,,,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas.,Notificacion,OToma,deMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE 22 ,SE SE 23 24 ,SE 25 
Algarrobo ,15174 ,82 ,540.4 ,5 ,33.0 ,19 ,125.2 ,19 ,125.2 ,0 0 1 4 ,4 O ,O O ,2 4 ,6 13 ,10 ,8 ,16 14 ,O 
Cabildo8 ,20663 ,75 ,363.0 ,0 ,0.0 ,24 ,116.1 ,24 ,116.1 ,0 O 0 0 ,0 O ,0 0 ,5 3 ,3 6 ,7 ,16 ,15 15 ,5 
Calera& ,53591 ,185 ,345.2 ,2 ,3.7 ,58 ,108.2 ,56 ,104.5 ,O O O 1 ,6 2 ,4 7 ,2 2 ,7 18 ,20 ,22 ,46 35 ,13 
Calle Larga8 ,16482 ,122 ,740.2 ,O ,0.0 ,23 ,139.5 ,23 ,139.5 ,1 0 O 0 ,O 2 ,3 1 ,0 4 ,3 9 ,28 ,26 ,27 12 ,6 
Cartagena ,25357 ,82 ,323.4 ,2 ,7.9 ,15 ,59.2 ,15 ,59.2 ,0 O O 0 ,O 2 ,O 1 ,5 5 ,12 7 ,16 ,10 ,11 12 ,1 
Casablanca& ,29170 ,91 ,312.0 ,0 ,0.0 ,31 ,106.3 ,31 ,106.3 ,0 0 O 2 ,0 1 ,1 0 ,0 O ,9 9 ,8 ,13 ,21 21 ,6 
Catemu ,15213 ,54 ,355.0 ,0 ,0.0 ,19 ,124.9 ,19 ,124.9 ,0 0 O 0 ,0 O ,0 O ,0 1 ,1 7 ,3 ,13 ,15 11 ,3 
Con Con& ,45889 ,169 ,368.3 ,2 ,4.4 ,42 ,91.5 ,42 ,91.5 ,0 0 0 3 ,6 1 ,1 0 ,11 6 ,9 16 ,19 ,22 ,50 22 ,3 
EI Quisco ,17742 ,87 ,490.4 ,2 ,11.3 ,8 ,45.1 ,8 ,45.1 ,O 0 0 1 ,0 4 ,2 4 ,0 5 ,9 14 ,13 ,16 ,16 3 ,0 
EI Tabo& ,14338 ,95 ,662.6 ,4 ,27.9 ,14 ,97.6 ,14 ,97.6 ,0 0 0 0 ,5 O ,2 3 ,3 4 ,7 6 ,15 ,24 ,18 8 ,O 
Hijuelas ,19099 ,57 ,298.4 ,1 ,5.2 ,17 ,89.0 ,17 ,89.0 ,0 0 0 0 ,0 0 ,1 0 ,0 0 ,0 7 ,10 ,15 ,10 11 ,3 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 2 ,1 2 ,0 0 ,0 O ,0 0 ,0 ,0 ,0 0 ,O 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 ,0 0 ,0 0 ,0 ,0 ,0 0 ,0 
La Cruz& ,25321 ,69 ,272.5 ,1 ,3.9 ,14 ,55.3 ,14 ,55.3 ,0 1 0 1 ,2 3 ,1 0 ,1 8 ,7 3 ,5 ,11 ,15 7 ,4 
La Ligua& ,37739 ,125 ,331.2 ,3 ,7.9 ,52 ,137.8 ,52 ,137.8 ,0 0 0 1 ,0 1 ,0 0 ,0 1 ,2 10 ,17 ,26 ,28 35 ,4 
Limache& ,49931 ,327 ,654.9 ,5 ,10.0 ,124 ,248.3 ,123 ,246.3 ,0 0 0 2 ,0 5 ,9 6 ,1 7 ,24 31 ,23 ,36 ,81 73 ,29 
Llaillay& ,26533 ,134 ,505.0 ,3 ,11.3 ,27 ,101.8 ,27 ,101.8 ,0 0 0 1 ,1 0 ,0 0 ,1 2 ,5 28 ,23 ,23 ,30 18 ,2 
Los Andes& ,68093 ,483 ,709.3 ,10 ,14.7 ,118 ,173.3 ,116 ,170.4 ,0 0 0 2 ,2 0 ,3 0 ,2 9 ,21 56 ,81 ,91 ,130 67 ,19 
Nogales ,23490 ,50 ,212.9 ,0 ,0.0 ,18 ,76.6 ,18 ,76.6 ,0 0 0 0 ,0 0 ,0 0 ,0 2 ,4 6 ,6 ,6 ,11 11 ,4 
