,,,,,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas.,Notificacion,oToma,deMuestra,,,,,,
,,Numero de ,Tasa ,Numero ,Tasa de ,Numero ,Tasa de ,Numero de ,Tasa de ,SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,de Fallecidos ,Mortalidad ,de Casos Actuales ,Incidencia Actual ,Casos Activos ,Incidencia Activos ,9 10 11 ,12 13 ,14 ,15 16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 
Alhue ,7405 ,52 ,702.2 ,1 ,13.5 ,24 ,324.1 ,24 ,324.1 ,0 0 0 ,0 0 ,0 ,0 0 ,0 ,0 ,4 ,1 ,4 ,8 ,14 ,19 ,2 
Buin& ,109641 ,1428 ,1302.4 ,32 ,29.2 ,317 ,289.1 ,313 ,285.5 ,0 0 0 ,5 17 ,10 ,15 18 ,19 ,60 ,135 ,188 ,227 ,212 ,275 ,208 ,39 
Calera de Tango& ,28525 ,293 ,1027.2 ,1 ,3.5 ,78 ,273.4 ,78 ,273.4 ,0 0 0 ,4 4 ,1 ,1 5 ,1 ,7 ,19 ,30 ,34 ,69 ,65 ,44 ,9 
Cerrillos& ,88956 ,2036 ,2288.8 ,31 ,34.8 ,383 ,430.5 ,381 ,428.3 ,1 3 1 ,6 11 ,14 ,20 21 ,68 ,226 ,201 ,274 ,309 ,266 ,338 ,246 ,31 
Cerro Navia& ,142465 ,4313 ,3027.4 ,108 ,75.8 ,689 ,483.6 ,686 ,481.5 ,0 1 10 ,15 14 ,14 ,37 48 ,109 ,265 ,556 ,662 ,698 ,717 ,690 ,416 ,61 
Colina& ,180353 ,3335 ,1849.2 ,42 ,23.3 ,505 ,280.0 ,505 ,280.0 ,1 3 7 ,28 16 ,25 ,18 22 ,35 ,133 ,360 ,530 ,595 ,604 ,576 ,313 ,69 
Conchali ,139195 ,4315 ,3100.0 ,106 ,76.2 ,615 ,441.8 ,611 ,439.0 ,0 2 2 ,17 14 ,19 ,39 70 ,132 ,373 ,612 ,691 ,649 ,627 ,601 ,385 ,82 
Curacavi& ,36430 ,584 ,1603.1 ,6 ,16.5 ,127 ,348.6 ,127 ,348.6 ,1 0 1 ,2 5 ,5 ,4 1 ,4 ,18 ,40 ,68 ,94 ,136 ,101 ,77 ,27 
