EIZ'ZE,Z46'ZE,87988,88T08,ZO8'EZ,16Z'ZT,Z67'SL68'Z,886'I,1Et'TtIt'T,61O'T,9t879tI,L'LOt,ZZI'EE,0'ott,SIE'EE,8'8t,8SS'8,9'sosz,08S'E0Z,ZLO'SZI'8,je1ot
7917 ,0987 ,$608 ,Lt67 ,tS6I ,ts8 ,tt9 07t ,6t7 ,8S IZ ,6L ,8 0 0 ,- ,t7sE ,- ,t7sE ,- ,0 ,- ,EI8LI ,- ,opppouopsed 
671 ,68I ,LLI ,107 ,ESI ,9S ,ET S ,9 ,tI 67 ,8t ,7E 9 0 ,Z'OEt ,971 ,E'EET ,671 ,8't7 ,t7 ,6'EtI[ ,LOII ,L4'96 ,geinpetn 
06 ,ES ,9S ,Ot ,EE ,OT ,t 9 ,T ,Z I ,Z ,0 0 0 ,8'18E ,78 ,8'188 ,78 ,E'EZ ,S ,8'tE9T ,ISE ,LLT'IZ ,gl!I!1 
S9T ,8tI ,LIT ,76 ,8S ,It ,OT Ot ,E ,L 8 ,t ,0 0 0 ,7'Et7 ,661 ,8'9t7 ,707 ,E'8T ,SI ,8'600t ,978 ,888'18 ,gquesejet 
998I ,TLST ,I6LI ,OS9I ,E99I ,686 ,788 tLI ,S9T ,St[ tOt ,00T ,87 Z ,0'087 ,60t[ ,9'087 ,ZItI ,0'87 ,ItI ,L'0nzz ,EZIII ,LTT'EOS ,goBenues 
Ots ,ISt ,IES ,6ts ,ISt ,St7 ,16 tt ,LI ,II II ,tz ,T 0 0 ,E's6S ,SIS ,8'86S ,8IS ,9'00t ,48 ,17's888 ,81EE ,01S'98 ,guouey ues 
77 ,IZ ,9T ,9I ,8 ,L ,Ot Z ,0 ,0 0 ,0 ,0 0 0 ,8'SL ,6 ,E'SL ,6 ,I'SZ ,E ,6'116 ,601 ,ES6'II ,goupad ues 
079 ,E8S ,L09 ,00S ,tEt ,007 ,8L 8t ,9t ,L7 77 ,L7 ,E 0 0 ,7'8St ,809 ,6'8St ,t09 ,8'st ,19 ,9'88L7 ,tt98 ,6S0'EEI ,glen8iw ues 
tL ,L9 ,t6 ,ts ,St ,t7 ,t I ,Z ,Z T ,T ,T 0 0 ,0'8tt ,LL ,t'8tt ,8L ,L'69 ,ET ,1'90ez ,0Et ,tt98t ,godjew ap esorues 
9SS ,8Lt ,SEt ,LE9 ,EOS ,L77 ,78 Zt ,LE ,EI 77 ,tI ,I 0 0 ,8'IZS ,Ots ,8'z7s ,Its ,S'OL ,EL ,6'ZEEE ,6tt8 ,S8t'EO[ ,gunbeor ues 
6SEI ,987T ,EtOt ,48 ,8t9 ,788 ,6ST ZZI ,LL ,99 Ot ,IZ ,9 I 0 ,9'80t ,898T ,I'ZIt ,088T ,0't ,ttI ,0'L0IZ ,SSOL ,988'188 ,gopueuuegu ues 
88L ,ttL ,818 ,80/ ,II9 ,687 ,801 99 ,SE ,8 II ,L ,t 0 0 ,E'6Lt ,ILL ,t'z8t ,9LL ,I'6S ,s6 ,I'8967 ,99Lt ,Lt8'091 ,epued 
17L ,8t8 ,196 ,Z60T ,6tII ,SZL ,787 TII ,St ,98 8T ,tI ,L 0 0 ,8'898 ,IOL ,O'ELE ,60/ ,8'98 ,S9T ,E'Ztte ,Ets9 ,S40'06T ,gerepopey 
E09 ,TIL ,769 ,69S ,6tt ,797 ,66 ts ,IS ,Ot SZ ,tI ,9 Z 0 ,S'ttt ,709 ,L'Ett ,$09 ,6'09 ,88 ,E'896Z ,ItOt ,898'98T ,sleuuon ewuino 
6701 ,ZOOT ,148 ,886 ,86L ,Its ,ZIE SET ,St ,tt 67 ,07 ,E E 0 ,t7'90t ,SEOT ,7'LOt ,LEOT ,8'tZ ,79 ,T'Ozsz ,9tS9 ,t69'tS7 ,geinouino 
07L7 ,LtS7 ,88S7 ,09IZ ,819I ,688 ,498 608 ,L8T ,691 66 ,09 ,8 T Z ,7'08t ,6L47 ,L'zEt ,$6L7 ,8's8 ,IEZ ,6'LZt7 ,789SI ,606'St9 ,goIV aquand 
ELOT ,TOZT ,SSZT ,186 ,699 ,8t8 ,EET St ,It ,LE 97 ,07 ,E I I ,7't98 ,776 ,0'L98 ,676 ,6'LE ,96 ,8's9S7 ,$6t9 ,68T'ESZ ,slenyepnd 
697 ,It ,16E ,81E ,tt7 ,t6 ,88 68 ,ZE ,77 IZ ,t9 ,87 E 0 ,7'06t ,008 ,I'Z6T ,E08 ,L'Et ,69 ,I'66ET ,L077 ,6tL'LSI ,geppuepinoud 
OII ,OSI ,6SI ,OL ,8S ,88 ,LI S ,S ,I E ,T ,E TI 0 ,L'8Et ,ZEI ,L'EEt ,ZEI ,L'6I ,9 ,E'78EZ ,SZL ,EEt'08 ,ganbu!d 
8981 ,test ,t6St ,687I ,7t6 ,868 ,IZI L9 ,7S ,6E tE ,67 ,6 Z I ,E'LSt ,OZZT ,I'79t ,EEZI ,E'IS ,LET ,S'9ete ,8988 ,864'997 ,gupiopeyed 
ZLZ ,167 ,667 ,IOZ ,SOU ,7S ,87 SI ,6 ,9 6 ,E ,S I T ,9's78 ,678 ,S'LZE ,IEE ,9'EE ,tE ,8'LZSI ,test ,8S0'TOI ,goueyed 
8tS ,98t ,8SE ,tIt ,LSE ,SLI ,IL EE ,St ,t7 SI ,9 ,E 0 0 ,6'tLt ,ZIS ,t7'78t ,07S ,O'LL ,E8 ,E's49Z ,t887 ,E08'LOT ,gepuep euuinsv ouped 
I97 ,OSI ,87I ,t8 ,18 ,87 ,S E ,L ,t 0 ,Z ,0 I 0 ,I'Ete ,t87 ,I'Et8 ,187 ,L'6 ,8 ,Z'ELIT ,I6 ,994'78 ,gaujed 
7IZ ,617 ,617 ,E9T ,$6 ,6S ,9I OT ,ET ,S OT ,S ,0 I 0 ,0'ote ,087 ,,IEZ ,0'L7Z ,07 ,t's09t ,I6II ,88I'tL ,opeunH auped 
E89 ,0t9 ,EEL ,67S ,LSE ,OSI ,IL 99 ,9t ,8t Zt ,ts ,L7 I T ,7'9s7 ,It9 ,9'8S7 ,Lt9 ,0'0t ,001 ,t7'9sst ,t688 ,Z6T'0SZ ,geounn 
Met ,t9t ,888 ,807 ,O0T ,78 ,98 t7 ,8 ,S S ,S ,I 0 ,6'6IE ,ESt ,L'Z78 ,LSt ,0'67 ,It ,t'Ettt ,tt07 ,ZI9'It[ ,gellidew 
IE ,tE ,tE ,E7 ,8I ,Z ,Z 0 ,I ,0 0 ,0 ,0 0 0 ,S'L9T ,SZ ,S'L9T ,SZ ,L'9 ,T ,Z'ZIII ,991 ,976't[ ,gou!d euew 
tOLL ,It9T ,SZST ,S8ZI ,068 ,6It ,TSI LII ,96 ,78 IL ,OS ,tI 0 0 ,8'E08 ,8SLI ,6'soE ,OLLI ,8'97 ,SST ,6'LI9T ,1986 ,$098LS ,andjen 
$09 ,Sts ,S79 ,77S ,87t ,E8I ,8L EZ ,tI ,07 E7 ,9T ,E I 0 ,I'IZt ,L9S ,9's7t ,ELS ,8'8t ,S9 ,t7'009 ,IOSE ,SE9'TEI ,ginpew 
0Et ,789 ,s6t ,ELT ,ItE ,I6I ,TOT IE ,t7 ,9I 07 ,S ,E 0 0 ,6'L88 ,SOt ,8'068 ,80t ,t'6s ,79 ,I't067 ,7808 ,80t't0t ,gopeid 
