Paredones,6349,9,141.8,0,0.0,4,63.0,4,63.0,O00OOO0O0OO2,21,31O
Peralillo ,11848 ,36 ,303.8 ,O ,0.0 ,13 ,109.7 ,13 ,109.7 ,0 O 0 O O 0 0 0 0 0 O 2 ,7 7 ,12 7 1 
Peumo ,14952 ,15 ,100.3 ,O ,0.0 ,3 ,20.1 ,3 ,20.1 ,0 O 0 0 1 0 O 0 0 2 3 2 ,2 2 ,1 1 1 
Pichidegua ,20743 ,24 ,115.7 ,O ,0.0 ,3 ,14.5 ,3 ,14.5 ,0 O O O 0 0 O O O 1 3 8 ,3 2 ,5 2 O 
Pichilemu8 ,17882 ,21 ,117.4 ,O ,0.0 ,3 ,16.8 ,3 ,16.8 ,0 0 0 0 0 0 0 0 0 2 1 4 ,7 4 ,0 3 O 
Placilla& ,9164 ,29 ,316.5 ,O ,0.0 ,9 ,98.2 ,9 ,98.2 ,O O 0 0 1 0 O O 0 0 1 4 ,3 6 ,10 3 1 
Pumanque& ,3531 ,3 ,85.0 ,0 ,0.0 ,1 ,28.3 ,1 ,28.3 ,0 O 0 O O O 0 O 0 O O O ,0 2 ,0 1 0 
Quinta de Tilcoco ,13877 ,14 ,100.9 ,0 ,0.0 ,6 ,43.2 ,6 ,43.2 ,0 O 0 1 O 0 0 0 0 0 0 1 ,1 4 ,2 4 1 
Rancagua& ,265211 ,1721 ,648.9 ,19 ,7.2 ,637 ,240.2 ,635 ,239.4 ,1 O 0 8 4 6 3 7 11 26 84 167 ,211 268 ,396 399 130 
Rengo& ,63710 ,190 ,298.2 ,O ,0.0 ,73 ,114.6 ,73 ,114.6 ,O O 0 1 1 O 0 4 5 3 7 19 ,30 22 ,42 41 15 
Requinoa& ,30371 ,98 ,322.7 ,1 ,3.3 ,40 ,131.7 ,40 ,131.7 ,0 0 0 2 0 0 0 0 2 0 4 5 ,13 20 ,13 30 9 
San Fernando& ,78642 ,111 ,141.1 ,2 ,2.5 ,32 ,40.7 ,32 ,40.7 ,0 O 0 2 1 1 0 1 0 2 7 8 ,23 16 ,21 22 7 
San Vicente& ,50617 ,122 ,241.0 ,2 ,4.0 ,33 ,65.2 ,33 ,65.2 ,0 0 0 0 3 1 0 0 3 3 16 24 ,16 12 ,19 21 4 
Santa Cruz& ,41096 ,65 ,158.2 ,1 ,2.4 ,23 ,56.0 ,23 ,56.0 ,0 O 0 0 1 0 0 1 1 0 5 4 ,9 7 ,18 15 4 
Desconocido ,- ,122 ,- ,O ,- ,92 ,- ,92 ,- ,0 0 0 0 0 O 1 0 0 O 2 4 ,13 O ,21 32 49 
Total ,991063 ,3664 ,369.7 ,42 ,4.2 ,1337 ,134.9 ,1335 ,134.7 ,2 0 1 21 15 10 11 18 44 65 215 386 ,484 519 ,772 817 284 
