,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas.,Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE 18 19 ,SE 20 ,SE SE 21 22 ,SE SE SE 23 24 25 
Angol ,56058 ,292 ,520.9 ,4 ,7.1 ,79 ,140.9 ,79 ,140.9 ,O 1 1 3 ,10 ,11 15 ,35 27 ,11 10 ,7 ,24 19 ,58 54 6 
Carahue ,25486 ,70 ,274.7 ,0 ,0.0 ,2 ,7.8 ,2 ,7.8 ,O O 0 O ,3 ,10 9 ,8 5 ,1 O ,2 ,14 11 ,5 2 0 
Cholchol ,12341 ,25 ,202.6 ,0 ,0.0 ,2 ,16.2 ,2 ,16.2 ,O O O 1 ,2 ,0 0 ,1 0 ,0 1 ,0 ,1 12 ,5 2 0 
Collipullis ,26148 ,45 ,172.1 ,2 ,7.6 ,8 ,30.6 ,8 ,30.6 ,O O 0 O ,0 ,1 1 ,1 3 ,O 2 ,9 ,9 6 ,7 5 1 
Cunco ,18055 ,49 ,271.4 ,1 ,5.5 ,10 ,55.4 ,10 ,55.4 ,O O O O ,3 ,2 O ,1 O ,O 1 ,5 ,18 0 ,11 8 0 
Curacautin& ,18178 ,23 ,126.5 ,0 ,0.0 ,10 ,55.0 ,10 ,55.0 ,0 O 0 2 ,0 ,2 O ,0 2 ,O 1 ,0 ,1 2 ,4 8 1 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 1 1 ,2 ,O O ,0 O ,0 O ,O ,O O ,0 O 0 
Ercilla ,8458 ,20 ,236.5 ,0 ,0.0 ,3 ,35.5 ,3 ,35.5 ,0 0 0 O ,0 ,4 1 ,4 1 ,1 0 ,0 ,4 1 ,1 2 1 
Freire& ,25446 ,104 ,408.7 ,1 ,3.9 ,16 ,62.9 ,16 ,62.9 ,0 0 O 2 ,4 ,O O ,2 0 ,0 11 ,11 ,28 16 ,18 5 7 
Galvarino& ,12633 ,113 ,894.5 ,O ,0.0 ,32 ,253.3 ,32 ,253.3 ,0 0 O O ,0 ,2 O ,0 O ,1 O ,O ,6 44 ,44 13 3 
Gorbea& ,15148 ,38 ,250.9 ,1 ,6.6 ,10 ,66.0 ,10 ,66.0 ,0 0 1 4 ,4 ,1 O ,1 0 ,1 3 ,0 ,5 6 ,6 6 0 
Lautaro& ,40746 ,108 ,265.1 ,0 ,0.0 ,12 ,29.5 ,12 ,29.5 ,1 0 0 6 ,3 ,15 5 ,6 2 ,7 9 ,3 ,14 21 ,6 8 2 
Loncoche& ,24739 ,66 ,266.8 ,0 ,0.0 ,13 ,52.5 ,13 ,52.5 ,0 0 0 2 ,3 ,2 4 ,3 3 ,1 2 ,2 ,7 20 ,4 11 2 
Lonquimay ,11049 ,69 ,624.5 ,1 ,9.1 ,O ,0.0 ,O ,0.0 ,0 0 O 0 ,0 ,0 0 ,0 2 ,13 13 ,27 ,12 2 ,0 0 0 
Los Sauces ,7517 ,8 ,106.4 ,0 ,0.0 ,1 ,13.3 ,1 ,13.3 ,0 0 0 O ,0 ,O O ,1 0 ,O 0 ,0 ,1 3 ,2 1 0 
Lumaco ,10050 ,28 ,278.6 ,0 ,0.0 ,11 ,109.5 ,11 ,109.5 ,0 0 0 0 ,0 ,O O ,4 2 ,1 O ,1 ,3 2 ,7 6 2 
Melipeuco ,6265 ,8 ,127.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 0 ,0 0 ,0 0 ,0 ,5 2 ,1 0 0 
Nueva Imperial8 ,33777 ,100 ,296.1 ,1 ,3.0 ,27 ,79.9 ,27 ,79.9 ,0 0 O 4 ,10 ,4 13 ,6 3 ,2 6 ,5 ,2 3 ,23 14 5 
Padre Las Casas& ,82110 ,176 ,214.3 ,4 ,4.9 ,8 ,9.7 ,8 ,9.7 ,0 0 0 12 ,28 ,24 16 ,15 11 ,0 5 ,24 ,16 14 ,4 4 3 
