,,,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas.,Notificacion,,oTomade,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE SE 21 22 ,SE SE SE 23 24 25 
Ancud ,42458 ,94 ,221.4 ,1 ,2.4 ,5 ,11.8 ,5 ,11.8 ,O 0 0 0 ,1 0 ,6 ,3 1 21 ,19 23 ,10 2 ,4 4 0 
Calbuco ,36744 ,11 ,29.9 ,0 ,0.0 ,2 ,5.4 ,2 ,5.4 ,0 0 0 3 ,1 1 ,1 ,1 0 O ,1 0 ,O 1 ,0 0 2 
Castro ,47607 ,9 ,18.9 ,0 ,0.0 ,1 ,2.1 ,1 ,2.1 ,0 0 0 2 ,0 5 ,0 ,0 O O ,1 0 ,O O ,0 1 O 
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,1 0 ,0 ,0 0 0 ,0 0 ,0 0 ,0 0 0 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 0 ,0 ,0 0 O ,0 0 ,0 0 ,0 0 0 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 O ,0 0 ,1 ,O 0 O ,O O ,O O ,0 0 O 
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 0 ,0 ,0 0 O ,0 0 ,0 0 ,0 0 0 
Dalcahue ,15069 ,7 ,46.5 ,0 ,0.0 ,1 ,6.6 ,1 ,6.6 ,0 0 0 0 ,0 0 ,0 ,0 0 O ,1 3 ,2 0 ,0 1 0 
Fresia ,12656 ,9 ,71.1 ,0 ,0.0 ,9 ,71.1 ,9 ,71.1 ,0 0 0 0 ,0 0 ,0 ,0 O 0 ,0 0 ,0 0 ,0 8 1 
Frutillar ,20223 ,20 ,98.9 ,0 ,0.0 ,6 ,29.7 ,6 ,29.7 ,0 0 0 0 ,1 3 ,2 ,0 0 O ,1 0 ,3 2 ,3 3 2 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 ,0 0 O ,0 1 ,0 O ,0 0 0 
Hualaihue ,9525 ,5 ,52.5 ,0 ,0.0 ,1 ,10.5 ,1 ,10.5 ,0 0 0 0 ,3 0 ,0 ,0 0 O ,0 0 ,0 1 ,0 0 1 
Llanquihue ,18621 ,28 ,150.4 ,O ,0.0 ,18 ,96.7 ,18 ,96.7 ,0 0 0 0 ,1 0 ,0 ,0 0 0 ,5 0 ,0 3 ,2 13 4 
Los Muermos ,17817 ,4 ,22.5 ,O ,0.0 ,2 ,11.2 ,2 ,11.2 ,0 0 0 1 ,0 0 ,O ,0 0 0 ,1 0 ,0 0 ,0 1 1 
Maullin ,14894 ,17 ,114.1 ,0 ,0.0 ,2 ,13.4 ,2 ,13.4 ,0 0 0 O ,0 0 ,1 ,0 O O ,0 5 ,9 O ,0 1 1 
Osorno& ,173410 ,451 ,260.1 ,10 ,5.8 ,39 ,22.5 ,39 ,22.5 ,0 0 3 59 ,104 63 ,36 ,18 15 20 ,14 9 ,19 32 ,27 20 12 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 0 ,0 0 ,0 ,0 0 0 ,0 0 ,O O ,O 0 0 
Puerto Montt& ,269398 ,356 ,132.1 ,1 ,0.4 ,117 ,43.4 ,116 ,43.1 ,0 1 2 13 ,18 11 ,3 ,5 1 1 ,8 18 ,56 58 ,65 81 15 
Puerto Octay ,9192 ,5 ,54.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 1 ,0 0 ,0 ,1 1 O ,2 0 ,0 O ,0 0 0 
