,,,,,,,Numero,deCasos,segunFechade,IniciodeSintomas.NotificacionO,TomadeMuestra
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 ,SE SE SE SE SE SE SE 17 18 19 20 21 22 23 
Aisen ,25002 ,8 ,32.0 ,0 ,0.0 ,4 ,16.0 ,4 ,16.0 ,0 O 1 0 0 0 0 0 ,O O 0 0 1 2 0 
Chile Chico ,5121 ,1 ,19.5 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O O 1 O O ,O 0 O 0 0 O 0 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 0 O 0 O 0 ,O 0 O 0 0 0 0 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 0 0 0 ,O 0 O 0 0 0 0 
Coyhaique ,61210 ,15 ,24.5 ,0 ,0.0 ,4 ,6.5 ,4 ,6.5 ,0 O 1 0 O 1 0 0 ,O 0 1 O 5 3 2 
Guaitecas ,1599 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O 0 O 0 O O ,O O O 0 O 0 0 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O O 0 O 0 ,O O O 0 0 0 0 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 0 0 O O ,O O O 0 0 O 0 
Rio ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 0 O 0 O 0 ,O 0 O 0 0 O 0 
Tortel ,572 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 O O O O ,O O O 0 O O 0 
Desconocido ,- ,1 ,- ,0 ,- ,0 ,- ,0 ,- ,0 0 1 0 0 0 O 0 ,0 O O 0 0 O 0 
Total ,107297 ,25 ,23.3 ,0 ,0.0 ,8 ,7.5 ,8 ,7.5 ,0 0 3 0 0 2 0 0 ,0 0 1 0 6 5 2 
