ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,1382 ,548.2 ,366 ,145.2 ,1004 
Region de Tarapaca ,382773 ,5100 ,1332.4 ,1032 ,269.6 ,3997 
Region de Antofagasta ,691854 ,5923 ,856.1 ,1397 ,201.9 ,4434 
Region de Atacama ,314709 ,659 ,209.4 ,259 ,82.3 ,400 
Region de Coquimbo ,836096 ,2352 ,281.3 ,730 ,87.3 ,1606 
Region de Valparaiso ,1960170 ,10549 ,538.2 ,3056 ,155.9 ,7346 
Region Metropolitana de Santiago ,8125072 ,203559 ,2505.3 ,33122 ,407.7 ,166879 
Region del Libertador General Bernardo OHiggins ,991063 ,3664 ,369.7 ,1335 ,134.7 ,2287 
Region del Maule ,1131939 ,4112 ,363.3 ,1359 ,120.1 ,2729 
Region del Nuble ,511551 ,2353 ,460.0 ,675 ,132.0 ,1653 
Region del Biobio ,1663696 ,4869 ,292.7 ,1753 ,105.4 ,3090 
Region de la Araucania ,1014343 ,2966 ,292.4 ,400 ,39.4 ,2526 
Region de Los Rios ,405835 ,606 ,149.3 ,133 ,32.8 ,463 
Region de Los Lagos ,891440 ,1296 ,145.4 ,237 ,26.6 ,1045 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,24 ,22.4 ,8 ,7.5 ,16 
Region de Magallanes y la Antartica Chilena ,178362 ,1322 ,741.2 ,148 ,83.0 ,1158 
Desconocido ,- ,183 ,- ,18 ,- ,165 
Total pais ,19458310 ,250919 ,1289.5 ,46028 ,236.5 ,200798 
