,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE SE 15 16 ,SE 17 ,SE SE 18 19 ,SE SE 20 21 
Antofagasta ,425725 ,1140 ,267.8 ,299 ,70.2 ,296 ,69.5 ,O 1 2 28 31 40 ,58 106 ,157 ,210 283 ,195 29 
Calama ,190336 ,254 ,133.4 ,76 ,39.9 ,76 ,39.9 ,1 1 2 3 2 7 ,14 16 ,37 ,47 70 ,54 O 
Maria Elena ,6814 ,132 ,1937.2 ,25 ,366.9 ,25 ,366.9 ,1 O O O O O ,5 9 ,16 ,42 42 ,17 O 
Mejillones ,14776 ,226 ,1529.5 ,45 ,304.5 ,45 ,304.5 ,0 O O O 1 8 ,15 18 ,30 ,74 45 ,35 0 
Ollague ,287 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O O O ,O O ,O ,O O ,O 0 
San Pedro de Atacama ,10434 ,5 ,47.9 ,1 ,9.6 ,1 ,9.6 ,0 O O 2 1 1 ,O O ,O ,0 O ,1 O 
Sierra Gorda ,1746 ,11 ,630.0 ,4 ,229.1 ,4 ,229.1 ,0 O O 0 0 O ,O 0 ,O ,3 4 ,4 0 
Taltal ,13657 ,23 ,168.4 ,12 ,87.9 ,12 ,87.9 ,0 O O O O 2 ,3 2 ,1 ,1 3 ,10 1 
Tocopilla ,28079 ,25 ,89.0 ,6 ,21.4 ,6 ,21.4 ,0 O O 2 O 4 ,5 O ,1 ,2 7 ,4 0 
Total ,691854 ,1816 ,262.5 ,468 ,67.6 ,465 ,67.2 ,2 2 4 35 35 62 ,100 151 ,242 ,379 454 ,320 30 
