,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
Alto del Carmen ,5729 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O O 0 O O 0 0 O O 0 0 
Caldera ,19426 ,5 ,25.7 ,3 ,15.4 ,3 ,15.4 ,O 0 O O 0 O O O O 2 2 1 0 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O 0 O O O O O O O 0 
Copiapo ,171766 ,96 ,55.9 ,34 ,19.8 ,34 ,19.8 ,0 0 1 0 2 1 4 0 12 26 27 13 10 
Diego de Almagro ,14358 ,5 ,34.8 ,2 ,13.9 ,2 ,13.9 ,O O O O 1 O O O O 1 1 2 O 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,0 0 O O 0 O O 1 O O O 0 O 
Huasco ,11264 ,1 ,8.9 ,0 ,0.0 ,0 ,0.0 ,0 O O O 0 O O O O 1 O O O 
Tierra Amarilla ,14312 ,23 ,160.7 ,5 ,34.9 ,5 ,34.9 ,O 0 O O 0 2 3 0 2 5 10 1 O 
Vallenar ,57009 ,46 ,80.7 ,5 ,8.8 ,5 ,8.8 ,O O O O 0 O 1 9 10 9 13 2 2 
Total ,314709 ,177 ,56.2 ,49 ,15.6 ,49 ,15.6 ,0 0 1 0 3 3 8 10 24 44 53 19 12 
