,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
Andacollo ,11791 ,4 ,33.9 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O 2 2 O O 
Canela ,9546 ,2 ,21.0 ,1 ,10.5 ,1 ,10.5 ,O O O 0 0 O O O O 1 O 1 O 
Combarbala ,13884 ,6 ,43.2 ,3 ,21.6 ,3 ,21.6 ,O O O 0 0 O O O O 2 1 3 O 
Coquimbo' & ,256735 ,67 ,26.1 ,11 ,4.3 ,11 ,4.3 ,O O 4 13 3 1 1 3 5 10 21 5 1 
Illapel ,32801 ,19 ,57.9 ,O ,0.0 ,O ,0.0 ,O O O O 4 7 7 O O 1 O O O 
La Higuera ,4450 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 O 0 O O O O O O O 
La Serena & ,249656 ,89 ,35.6 ,41 ,16.4 ,41 ,16.4 ,O O 1 3 6 4 2 2 4 12 31 18 6 
Los Vilos ,23374 ,1 ,4.3 ,0 ,0.0 ,O ,0.0 ,O O O 1 0 O O O O O O 0 O 
Monte Patria ,32527 ,17 ,52.3 ,13 ,40.0 ,13 ,40.0 ,O O O 0 0 0 O 0 O 1 5 11 0 
Ovalle & ,121269 ,59 ,48.7 ,24 ,19.8 ,24 ,19.8 ,O O 2 2 4 1 O 1 1 9 18 21 O 
Paiguano ,4675 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O O 
Punitaqui ,12165 ,10 ,82.2 ,O ,0.0 ,O ,0.0 ,O O O O O O O 1 1 3 5 O O 
Rio Hurtado ,4372 ,2 ,45.7 ,0 ,0.0 ,O ,0.0 ,O O O 1 0 0 O 0 O 1 O 0 O 
Salamanca ,29110 ,11 ,37.8 ,1 ,3.4 ,1 ,3.4 ,O O O 1 2 1 2 1 O 3 O 1 O 
Vicuna ,29741 ,10 ,33.6 ,2 ,6.7 ,2 ,6.7 ,0 O O 0 0 O 0 0 1 2 5 2 O 
Total ,836096 ,297 ,35.5 ,96 ,11.5 ,96 ,11.5 ,0 0 7 21 19 14 12 8 12 47 88 62 7 
