,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE 17 ,SE SE 18 19 ,SE SE 20 21 
Algarrobo ,15174 ,32 ,210.9 ,13 ,85.7 ,13 ,85.7 ,O O 1 4 ,4 0 0 O ,2 ,4 6 ,11 0 
Cabildo ,20663 ,11 ,53.2 ,2 ,9.7 ,2 ,9.7 ,0 O O O ,O 0 0 0 ,5 ,3 2 ,1 0 
Calera ,53591 ,39 ,72.8 ,13 ,24.3 ,13 ,24.3 ,0 O O 1 ,6 2 4 7 ,2 ,1 7 ,9 0 
Calle Larga ,16482 ,20 ,121.3 ,9 ,54.6 ,9 ,54.6 ,0 0 0 0 ,0 2 3 1 ,O ,3 2 ,6 3 
Cartagena ,25357 ,31 ,122.3 ,6 ,23.7 ,6 ,23.7 ,0 O O O ,0O 2 O 3 ,5 ,5 11 ,5 0 
Casablanca ,29170 ,21 ,72.0 ,10 ,34.3 ,10 ,34.3 ,0 O O 1 ,O 1 1 O ,O ,O 8 ,8 2 
Catemu ,15213 ,5 ,32.9 ,3 ,19.7 ,3 ,19.7 ,0 O O 0 ,O 0 0 O ,O ,1 1 ,3 0 
Con Con ,45889 ,43 ,93.7 ,12 ,26.2 ,12 ,26.2 ,0 0 0 2 ,6 1 1 0 ,9 ,6 8 ,9 1 
EI Quisco ,17742 ,30 ,169.1 ,7 ,39.5 ,7 ,39.5 ,0 O O 1 ,O 4 2 4 ,O ,5 10 ,4 0 
EI Tabo ,14338 ,29 ,202.3 ,8 ,55.8 ,8 ,55.8 ,0 O 0 0 ,5 0 2 3 ,3 ,4 6 ,5 1 
Hijuelas ,19099 ,5 ,26.2 ,4 ,20.9 ,4 ,20.9 ,0 O O 0 ,0 O 1 0 ,0 ,O O ,4 0 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,0 O O 2 ,1 2 0 0 ,O ,O O ,O 0 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 0 0 ,0 ,O 0 ,O 0 
La Cruz ,25321 ,24 ,94.8 ,5 ,19.7 ,5 ,19.7 ,O 1 O 1 ,2 3 1 O ,1 ,6 6 ,3 0 
La Ligua ,37739 ,8 ,21.2 ,5 ,13.2 ,5 ,13.2 ,0 O O 1 ,O 1 O O ,O ,1 O ,5 O 
Limache ,49931 ,68 ,136.2 ,24 ,48.1 ,24 ,48.1 ,0 O O 2 ,O 5 9 6 ,1 ,7 23 ,14 1 
Llaillay ,26533 ,33 ,124.4 ,25 ,94.2 ,25 ,94.2 ,0 0 O 1 ,1 O 0 O ,1 ,2 4 ,22 2 
Los Andes ,68093 ,72 ,105.7 ,43 ,63.1 ,43 ,63.1 ,0 O O 2 ,2 0 3 O ,2 ,7 20 ,32 4 
Nogales ,23490 ,9 ,38.3 ,6 ,25.5 ,6 ,25.5 ,0 0 O 0 ,0 0 0 0 ,0 ,2 3 ,4 0 
Olmue ,19266 ,6 ,31.1 ,4 ,20.8 ,3 ,15.6 ,0 O O O ,O 2 O O ,O ,O 1 ,3 0 
