,,,,,,,Numero,deCasossegunFecha,deInicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE 18 ,SE 19 ,SE SE 20 21 
Alhue ,7405 ,2 ,27.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 ,0 0 ,0 0 ,0 ,2 ,0 0 
Buin ,109641 ,358 ,326.5 ,150 ,136.8 ,150 ,136.8 ,O 0 O 5 ,17 ,8 14 ,16 18 ,55 ,113 ,102 10 
Calera de Tango & ,28525 ,50 ,175.3 ,19 ,66.6 ,19 ,66.6 ,O 0 0 4 ,4 ,1 1 ,5 1 ,4 ,14 ,14 2 
Cerrillos ,88956 ,639 ,718.3 ,199 ,223.7 ,199 ,223.7 ,0 1 2 4 ,10 ,13 19 ,20 63 ,199 ,157 ,144 7 
Cerro Navia ,142465 ,851 ,597.3 ,211 ,148.1 ,211 ,148.1 ,O 0 9 12 ,12 ,12 37 ,42 80 ,184 ,329 ,126 8 
Colina ,180353 ,781 ,433.0 ,347 ,192.4 ,347 ,192.4 ,1 4 6 27 ,15 ,19 16 ,19 31 ,108 ,260 ,246 29 
Conchali ,139195 ,1063 ,763.7 ,320 ,229.9 ,317 ,227.7 ,0 0 1 16 ,12 ,17 33 ,67 116 ,264 ,311 ,208 18 
Curacavi ,36430 ,116 ,318.4 ,49 ,134.5 ,49 ,134.5 ,0 O 1 2 ,4 ,4 4 ,0 4 ,17 ,38 ,36 6 
EI Bosque ,172000 ,1026 ,596.5 ,402 ,233.7 ,401 ,233.1 ,O 0 2 14 ,21 ,28 45 ,44 78 ,187 ,306 ,289 12 
El Monte ,40014 ,80 ,199.9 ,26 ,65.0 ,25 ,62.5 ,O O 0 1 ,1 ,6 4 ,1 8 ,12 ,29 ,15 3 
Estacion Central ,206792 ,1466 ,708.9 ,478 ,231.2 ,476 ,230.2 ,0 1 2 11 ,27 ,33 39 ,78 163 ,325 ,436 ,340 11 
Huechuraba ,112528 ,669 ,594.5 ,230 ,204.4 ,229 ,203.5 ,O 0 4 19 ,7 ,16 17 ,29 45 ,159 ,205 ,155 13 
Independencia ,142065 ,1699 ,1195.9 ,389 ,273.8 ,389 ,273.8 ,O 1 3 14 ,9 ,23 45 ,141 290 ,461 ,441 ,240 31 
Isla de Maipo ,40171 ,41 ,102.1 ,14 ,34.9 ,14 ,34.9 ,O 0 0 2 ,1 ,6 2 ,0 3 ,7 ,12 ,6 2 
La Cisterna ,100434 ,646 ,643.2 ,281 ,279.8 ,280 ,278.8 ,O 0 0 10 ,11 ,16 18 ,23 58 ,108 ,200 ,200 2 
La Florida & ,402433 ,2514 ,624.7 ,977 ,242.8 ,971 ,241.3 ,O 2 12 28 ,56 ,57 65 ,93 171 ,478 ,828 ,670 54 
La Granja ,122557 ,1260 ,1028.1 ,588 ,479.8 ,586 ,478.1 ,O O 1 6 ,13 ,28 20 ,16 63 ,225 ,450 ,424 14 
La Pintana & ,189335 ,1432 ,756.3 ,525 ,277.3 ,524 ,276.8 ,O O 3 8 ,17 ,30 44 ,85 140 ,245 ,506 ,334 20 
La Reina ,100252 ,384 ,383.0 ,140 ,139.6 ,140 ,139.6 ,0 0 12 14 ,12 ,16 7 ,11 36 ,66 ,100 ,96 14 
Lampa ,126898 ,463 ,364.9 ,149 ,117.4 ,149 ,117.4 ,O O O 8 ,13 ,14 12 ,18 39 ,98 ,161 ,79 21 
