LasCondes,330759,1439,435.1,544,164.5,542,163.9,01959121,65,37,3226,64,208,391,36551
Lo Barnechea ,124076 ,742 ,598.0 ,243 ,195.8 ,243 ,195.8 ,O 2 14 52 ,28 ,17 ,35 35 ,63 ,121 ,189 ,172 14 
Lo Espejo ,103865 ,788 ,758.7 ,334 ,321.6 ,331 ,318.7 ,O O 1 4 ,7 ,22 ,27 21 ,54 ,130 ,287 ,229 6 
Lo Prado ,104403 ,617 ,591.0 ,170 ,162.8 ,169 ,161.9 ,0 1 2 5 ,19 ,13 ,20 30 ,96 ,128 ,189 ,102 12 
Macul ,134635 ,949 ,704.9 ,394 ,292.6 ,391 ,290.4 ,0 1 3 15 ,21 ,17 ,12 20 ,77 ,163 ,331 ,279 10 
Maipu ,578605 ,2000 ,345.7 ,773 ,133.6 ,772 ,133.4 ,0 0 13 46 ,67 ,75 ,76 111 ,128 ,297 ,617 ,527 43 
Maria Pinto ,14926 ,12 ,80.4 ,3 ,20.1 ,3 ,20.1 ,O 0 0 0 ,0 ,0 ,1 0 ,2 ,0 ,6 ,3 0 
Melipilla ,141612 ,310 ,218.9 ,129 ,91.1 ,129 ,91.1 ,0 1 1 4 ,5 ,5 ,8 21 ,31 ,60 ,74 ,89 11 
Nunoa ,250192 ,1091 ,436.1 ,419 ,167.5 ,418 ,167.1 ,1 1 27 52 ,37 ,46 ,45 65 ,63 ,132 ,308 ,282 32 
Padre Hurtado8 ,74188 ,202 ,272.3 ,71 ,95.7 ,71 ,95.7 ,O 1 0 5 ,9 ,5 ,11 7 ,15 ,42 ,59 ,45 3 
Paine ,82766 ,177 ,213.9 ,85 ,102.7 ,85 ,102.7 ,O 1 1 2 ,0 ,4 ,4 3 ,5 ,24 ,72 ,56 5 
Pedro Aguirre Cerda ,107803 ,890 ,825.6 ,371 ,344.1 ,369 ,342.3 ,0 0 3 5 ,15 ,23 ,45 32 ,71 ,147 ,301 ,241 7 
Pefaflor ,101058 ,222 ,219.7 ,73 ,72.2 ,73 ,72.2 ,O 1 4 3 ,9 ,5 ,9 14 ,24 ,38 ,62 ,46 7 
Penalolen ,266798 ,2160 ,809.6 ,925 ,346.7 ,921 ,345.2 ,O 3 9 26 ,34 ,37 ,50 63 ,116 ,350 ,756 ,670 46 
Pirque ,30433 ,136 ,446.9 ,46 ,151.2 ,46 ,151.2 ,O 0 3 1 ,3 ,1 ,5 3 ,15 ,31 ,39 ,35 O 
Providencia ,157749 ,706 ,447.5 ,252 ,159.7 ,249 ,157.8 ,0 3 29 62 ,20 ,22 ,30 32 ,33 ,88 ,193 ,166 28 
Pudahuel? ,253139 ,1095 ,432.6 ,293 ,115.7 ,290 ,114.6 ,1 1 2 19 ,23 ,31 ,35 39 ,122 ,250 ,367 ,179 26 
Puente Alto ,645909 ,3658 ,566.3 ,1237 ,191.5 ,1234 ,191.0 ,1 2 7 56 ,96 ,157 ,180 247 ,262 ,653 ,1113 ,833 51 
Quilicura ,254694 ,1593 ,625.5 ,422 ,165.7 ,422 ,165.7 ,0 5 3 20 ,24 ,41 ,41 128 ,264 ,409 ,342 ,281 35 
Quinta Normal ,136368 ,879 ,644.6 ,223 ,163.5 ,223 ,163.5 ,O 2 4 13 ,24 ,36 ,47 49 ,94 ,199 ,266 ,130 15 
Recoleta ,190075 ,2135 ,1123.2 ,562 ,295.7 ,559 ,294.1 ,O O 5 15 ,19 ,31 ,45 104 ,266 ,593 ,668 ,353 36 
Renca ,160847 ,967 ,601.2 ,274 ,170.3 ,274 ,170.3 ,O O 4 7 ,11 ,7 ,32 61 ,99 ,212 ,366 ,151 17 
San Bernardo ,334836 ,1807 ,539.7 ,699 ,208.8 ,697 ,208.2 ,1 2 7 20 ,36 ,65 ,72 119 ,144 ,287 ,534 ,475 45 
San Joaquin ,103485 ,1325 ,1280.4 ,620 ,599.1 ,617 ,596.2 ,0 1 1 14 ,22 ,15 ,37 38 ,78 ,204 ,451 ,416 48 
San Jose de Maipo ,18644 ,102 ,547.1 ,48 ,257.5 ,47 ,252.1 ,O 0 1 1 ,1 ,2 ,2 1 ,4 ,20 ,37 ,30 3 
San Miguel ,133059 ,1015 ,762.8 ,406 ,305.1 ,403 ,302.9 ,O O 3 25 ,21 ,25 ,44 47 ,68 ,155 ,332 ,269 26 
San Pedro ,11953 ,25 ,209.2 ,3 ,25.1 ,3 ,25.1 ,0 0 O O ,0 ,O ,O 2 ,9 ,6 ,7 ,1 O 
San Ramon & ,86510 ,1069 ,1235.7 ,446 ,515.5 ,445 ,514.4 ,O O 1 4 ,11 ,9 ,11 40 ,87 ,213 ,395 ,285 13 
