Peralillo,11848,2,16.9,2,16.9,2,16.9
Peumo ,14952 ,5 ,33.4 ,2 ,13.4 ,2 ,13.4 
Pichidegua ,20743 ,6 ,28.9 ,5 ,24.1 ,4 ,19.3 
Pichilemu & ,17882 ,5 ,28.0 ,2 ,11.2 ,2 ,11.2 
Placilla ,9164 ,4 ,43.6 ,3 ,32.7 ,3 ,32.7 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quinta de Tilcoco ,13877 ,2 ,14.4 ,1 ,7.2 ,1 ,7.2 
Rancagua & ,265211 ,195 ,73.5 ,83 ,31.3 ,82 ,30.9 
Rengo & ,63710 ,22 ,34.5 ,7 ,11.0 ,7 ,11.0 
Requinoa ,30371 ,10 ,32.9 ,3 ,9.9 ,3 ,9.9 
"San Fernando"" ",78642 ,14 ,17.8 ,4 ,5.1 ,4 ,5.1 
San Vicente ,50617 ,35 ,69.1 ,18 ,35.6 ,18 ,35.6 
Santa Cruz ,41096 ,11 ,26.8 ,4 ,9.7 ,4 ,9.7 
Total ,991063 ,503 ,50.8 ,214 ,21.6 ,212 ,21.4 
