,,Nde,casos,,,
Region ,Poblacion ,Acumulados ,Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa letalidad 
Arica y Parinacota ,252110 ,471 ,7 ,186.8 ,2.8 ,1.5 
Tarapaca ,382773 ,1393 ,5 ,363.9 ,1.3 ,0.4 
Antofagasta ,691854 ,1841 ,17 ,266.1 ,2.5 ,0.9 
Atacama ,314709 ,175 ,0 ,55.6 ,0.0 ,0.0 
Coquimbo ,836096 ,281 ,2 ,33.6 ,0.2 ,0.7 
Valparaiso ,1960170 ,2020 ,40 ,103.1 ,2.0 ,2.0 
Metropolitana ,8125072 ,48350 ,423 ,595.1 ,5.2 ,0.9 
O'Higgins ,991063 ,492 ,8 ,49.6 ,0.8 ,1.6 
Maule ,1131939 ,782 ,15 ,69.1 ,1.3 ,1.9 
Nuble ,511551 ,1025 ,21 ,200.4 ,4.1 ,2.0 
Biobio ,1663696 ,1311 ,10 ,78.8 ,0.6 ,0.8 
Araucania ,1014343 ,1737 ,45 ,171.2 ,4.4 ,2.6 
Los Rios ,405835 ,262 ,6 ,64.6 ,1.5 ,2.3 
LOs Lagos ,891440 ,717 ,13 ,80.4 ,1.5 ,1.8 
Aisen ,107297 ,8 ,0 ,7.5 ,0.0 ,0.0 
Magallanes ,178362 ,992 ,18 ,556.2 ,10.1 ,1.8 
Total pais ,19458310 ,61857 ,630 ,317.9 ,3.2 ,1.0 
