,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE SE SE 17 18 19 20 
Bulnes ,22607 ,138 ,610.4 ,50 ,221.2 ,50 ,221.2 ,O O O 10 ,27 10 ,7 7 ,5 9 22 40 
Chillan ,198624 ,505 ,254.2 ,62 ,31.2 ,62 ,31.2 ,O 1 27 117 ,116 76 ,33 25 ,17 14 22 54 
Chillan Viejo ,33827 ,72 ,212.8 ,14 ,41.4 ,14 ,41.4 ,0 0 5 7 ,19 7 ,14 3 ,1 1 2 9 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 ,O O ,O O ,O O O O 
Coelemu ,16845 ,6 ,35.6 ,2 ,11.9 ,2 ,11.9 ,O O O 0 ,2 2 ,O O ,O 0 0 2 
Coihueco ,28375 ,50 ,176.2 ,7 ,24.7 ,7 ,24.7 ,0 O O 3 ,3 4 ,6 12 ,12 3 1 6 
EI Carmen ,12334 ,6 ,48.6 ,2 ,16.2 ,2 ,16.2 ,O O 0 2 ,0 1 ,0 O ,O 0 1 2 
Ninhue ,5414 ,5 ,92.4 ,1 ,18.5 ,1 ,18.5 ,O O 0 0 ,O 2 ,O 2 ,0 0 0 1 
Niquen ,11567 ,4 ,34.6 ,1 ,8.6 ,1 ,8.6 ,0 0 0 0 ,0 1 ,2 O ,0 0 0 1 
Pemuco ,8639 ,10 ,115.8 ,2 ,23.2 ,2 ,23.2 ,O 0 0 1 ,0 4 ,1 O ,O 0 3 1 
Pinto ,11880 ,17 ,143.1 ,5 ,42.1 ,5 ,42.1 ,O O O 2 ,3 5 ,1 1 ,O 0 O 5 
Portezuelo ,4940 ,7 ,141.7 ,6 ,121.5 ,6 ,121.5 ,0 O O 0 ,O O ,0 O ,O 0 1 4 
Quillon ,18777 ,39 ,207.7 ,6 ,32.0 ,6 ,32.0 ,O O 1 8 ,9 8 ,1 O ,3 2 2 5 
Quirihue ,12192 ,16 ,131.2 ,6 ,49.2 ,6 ,49.2 ,O O 0 0 ,1 2 ,0 1 ,O 1 7 4 
Ranquil ,6261 ,10 ,159.7 ,O ,0.0 ,O ,0.0 ,O 0 O 1 ,3 6 ,O O ,O O O O 
San Carlos ,56252 ,52 ,92.4 ,8 ,14.2 ,8 ,14.2 ,0 O 2 6 ,10 9 ,2 3 ,3 3 6 7 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,O O 0 3 ,3 1 ,O 1 ,O O 0 O 
San Ignacio ,16624 ,14 ,84.2 ,3 ,18.0 ,3 ,18.0 ,O 0 0 2 ,2 1 ,0 1 ,3 2 O 3 
San Nicolas ,12172 ,19 ,156.1 ,4 ,32.9 ,4 ,32.9 ,O O O 2 ,5 4 ,4 O ,0 O 1 2 
Treguaco ,5696 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O 0 ,O 0 ,O O ,O O 0 O 
,,59 ,,,,,,O O 0 3 ,16 21 ,3 4 ,6 2 2 
