,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
SEREMI De Arica y Parinacota ,0 ,0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREMI De Tarapaca ,O ,0 O O O 0 O 0 0 0 O O 0 0 
SEREMI De Antofagasta ,0 ,0 0 0 0 0 0 0 0 0 0 O 0 O 
SEREMI De Atacama ,O ,O 0 O O O O O 0 O O 0 O O 
SEREMI De Coquimbo ,0 ,0 O 0 0 0 0 0 0 O 0 O 0 0 
SEREMI De Valparaiso ,1 ,0 0 0 0 1 0 0 0 0 0 0 0 0 
SEREMI Metropolitana de Santiago ,6 ,O 0 O 0 O O O 1 1 2 2 O O 
SEREMI Del Libertador Gral B OHiggins ,0 ,0 0 O 0 0 0 0 0 O O 0 O O 
SEREMI Del Maule ,0 ,0 0 0 0 0 0 O 0 0 0 0 0 O 
SEREMI Del Nuble ,O ,0 O 0 0 0 O O 0 0 0 O 0 0 
SEREMI De Biobio ,0 ,O O 0 0 0 O 0 0 O 0 O O O 
SEREMI De La Araucania ,O ,0 0 O 0 O O 0 O O O 0 O 0 
SEREMI De Los Rios ,0 ,0 0 0 0 0 0 0 0 0 0 O 0 O 
SEREMI De Los Lagos ,21 ,O O 9 10 1 1 0 O 0 0 0 0 O 
SEREMI De Aisen del General Carlos ibanez del Campo ,1 ,0 O 1 O 0 O O 0 O 0 O 0 0 
SEREMI De Magallanes y la Antartica Chilena ,O ,O O O O O O 0 0 O O O O 0 
Total pais ,29 ,0 0 10 10 2 1 0 1 1 2 2 0 0 
