,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas.Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE 12 13 14 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE SE 24 25 26 
Andacollo& ,11791 ,31 ,262.9 ,1 ,8.5 ,4 ,33.9 ,4 ,33.9 ,0 0 0 ,O O 0 0 ,0 O 2 ,7 3 ,3 ,7 5 ,1 3 0 
Canela& ,9546 ,7 ,73.3 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O ,0 O O O ,0 O 1 ,O 2 ,0 ,2 2 ,0 0 0 
Combarbala ,13884 ,31 ,223.3 ,O ,0.0 ,10 ,72.0 ,10 ,72.0 ,0 O O ,O O O O ,O O 2 ,3 4 ,3 ,5 3 ,3 8 0 
Coquimbo8 ,256735 ,804 ,313.2 ,4 ,1.6 ,190 ,74.0 ,190 ,74.0 ,O 0 4 ,13 3 1 1 ,4 8 23 ,85 84 ,69 ,150 142 ,136 81 0 
illapels ,32801 ,90 ,274.4 ,0 ,0.0 ,27 ,82.3 ,27 ,82.3 ,0 O 0 ,0 4 7 7 ,0 O 1 ,O 1 ,5 ,21 14 ,17 13 0 
La Higuera ,4450 ,5 ,112.4 ,O ,0.0 ,2 ,44.9 ,2 ,44.9 ,0 O O ,0 O O O ,O O 0 ,0 O ,0 ,1 2 ,1 1 0 
La Serena& ,249656 ,678 ,271.6 ,3 ,1.2 ,196 ,78.5 ,196 ,78.5 ,0 0 1 ,3 6 4 2 ,2 5 17 ,50 50 ,75 ,116 112 ,123 112 0 
LOs Vilos& ,23374 ,24 ,102.7 ,0 ,0.0 ,8 ,34.2 ,8 ,34.2 ,O O O ,1 O O O ,O O 0 ,1 O ,3 ,5 5 ,8 1 0 
Monte Patria& ,32527 ,156 ,479.6 ,1 ,3.1 ,46 ,141.4 ,46 ,141.4 ,0 O 0 ,0 O O O ,0 O 1 ,6 19 ,25 ,26 24 ,37 18 0 
Ovalle& ,121269 ,712 ,587.1 ,6 ,4.9 ,201 ,165.7 ,201 ,165.7 ,0 O 3 ,2 4 2 O ,5 1 15 ,32 47 ,58 ,113 170 ,176 84 0 
Paiguano& ,4675 ,7 ,149.7 ,0 ,0.0 ,2 ,42.8 ,2 ,42.8 ,0 O O ,O O O O ,O O O ,0 O ,2 ,2 1 ,2 0 0 
Punitaquis ,12165 ,42 ,345.3 ,2 ,16.4 ,7 ,57.5 ,7 ,57.5 ,0 0 0 ,0 O O O ,1 1 3 ,6 O ,4 ,16 2 ,7 2 0 
Rio Hurtado8 ,4372 ,18 ,411.7 ,O ,0.0 ,1 ,22.9 ,1 ,22.9 ,0 0 O ,1 0 0 0 ,0 0 1 ,O 1 ,2 ,5 7 ,1 0 0 
Salamanca8 ,29110 ,55 ,188.9 ,0 ,0.0 ,4 ,13.7 ,4 ,13.7 ,O O 0 ,1 2 1 2 ,1 0 3 ,2 2 ,5 ,15 14 ,3 4 0 
Vicuna& ,29741 ,31 ,104.2 ,0 ,0.0 ,2 ,6.7 ,2 ,6.7 ,0 0 0 ,0 0 0 1 ,0 1 3 ,5 3 ,5 ,4 7 ,2 0 0 
Desconocido& ,- ,123 ,- ,O ,- ,84 ,- ,84 ,- ,0 0 O ,1 0 1 0 ,1 1 1 ,1 3 ,10 ,10 10 ,37 47 0 
Total ,836096 ,2814 ,336.6 ,17 ,2.0 ,784 ,93.8 ,784 ,93.8 ,0 0 8 ,22 19 16 13 ,14 17 73 ,198 219 ,269 ,498 520 ,554 374 0 
