Panquehue&,7633,49,641.9,0,0.0,11,144.1,11,144.1,0000,00O00,04,56,5,15,7,70
Papudo ,6201 ,58 ,935.3 ,0 ,0.0 ,16 ,258.0 ,16 ,258.0 ,0 0 O 0 ,0 0 O 1 0 ,0 O ,6 4 ,13 ,16 ,11 ,7 0 
Petorca8 ,10558 ,37 ,350.4 ,0 ,0.0 ,6 ,56.8 ,6 ,56.8 ,0 0 0 1 ,4 2 0 O 0 ,0 1 ,4 5 ,9 ,4 ,5 ,2 0 
Puchuncavi ,20071 ,82 ,408.5 ,2 ,10.0 ,25 ,124.6 ,25 ,124.6 ,0 0 O O ,0 0 O O 0 ,0 4 ,7 6 ,8 ,26 ,20 ,11 0 
Putaendo8 ,17645 ,120 ,680.1 ,0 ,0.0 ,32 ,181.4 ,32 ,181.4 ,0 0 O 1 ,0 1 2 4 2 ,2 6 ,7 7 ,13 ,29 ,29 ,17 0 
Quillota8 ,97572 ,643 ,659.0 ,8 ,8.2 ,212 ,217.3 ,211 ,216.3 ,0 1 O 3 ,7 3 8 1 5 ,3 17 ,19 44 ,83 ,185 ,173 ,91 0 
Quilpue& ,167085 ,739 ,442.3 ,4 ,2.4 ,162 ,97.0 ,162 ,97.0 ,0 1 3 3 ,9 6 5 5 12 ,20 46 ,76 79 ,112 ,151 ,142 ,69 0 
Quintero8 ,36135 ,230 ,636.5 ,5 ,13.8 ,42 ,116.2 ,42 ,116.2 ,1 0 0 4 ,1 1 0 6 2 ,3 24 ,24 30 ,36 ,46 ,37 ,15 0 
Rinconada ,11263 ,105 ,932.3 ,0 ,0.0 ,26 ,230.8 ,26 ,230.8 ,0 0 0 0 ,0 4 0 0 0 ,0 2 ,14 18 ,16 ,18 ,18 ,15 0 
San Antonio& ,96761 ,860 ,888.8 ,19 ,19.6 ,136 ,140.6 ,136 ,140.6 ,0 0 O O ,6 14 11 22 39 ,67 60 ,99 96 ,136 ,139 ,124 ,47 0 
San Esteban& ,20643 ,110 ,532.9 ,0 ,0.0 ,32 ,155.0 ,32 ,155.0 ,0 0 0 0 ,0 1 0 1 2 ,2 7 ,3 10 ,16 ,32 ,19 ,13 4 
San Felipe& ,83494 ,694 ,831.2 ,10 ,12.0 ,174 ,208.4 ,173 ,207.2 ,0 0 0 3 ,2 2 0 1 2 ,6 19 ,60 70 ,116 ,183 ,171 ,57 2 
Santa Maria& ,16367 ,119 ,727.1 ,0 ,0.0 ,46 ,281.1 ,46 ,281.1 ,0 0 0 0 ,2 0 0 1 5 ,13 2 ,5 8 ,13 ,18 ,28 ,24 0 
Santo Domingo8 ,11934 ,112 ,938.5 ,0 ,0.0 ,13 ,108.9 ,13 ,108.9 ,0 0 2 1 ,0 6 4 4 4 ,5 4 ,11 6 ,9 ,30 ,17 ,9 0 
Valparaiso& ,315732 ,2270 ,719.0 ,30 ,9.5 ,631 ,199.9 ,627 ,198.6 ,0 1 2 9 ,16 14 18 16 26 ,83 114 ,144 232 ,329 ,493 ,499 ,274 0 
Villa Alemana& ,139310 ,783 ,562.1 ,6 ,4.3 ,218 ,156.5 ,218 ,156.5 ,0 0 1 8 ,4 3 O 1 6 ,30 40 ,51 64 ,122 ,176 ,169 ,106 2 
Vina del Mar& ,361371 ,1992 ,551.2 ,35 ,9.7 ,404 ,111.8 ,401 ,111.0 ,0 0 6 21 ,28 22 13 21 26 ,79 140 ,200 225 ,293 ,404 ,339 ,174 1 
Zapallar ,7994 ,16 ,200.2 ,1 ,12.5 ,12 ,150.1 ,12 ,150.1 ,0 0 0 0 ,0 0 0 O 0 ,0 0 ,0 0 ,1 ,2 ,3 ,10 0 
Desconocido& ,-- ,291 ,- ,O ,- ,155 ,- ,155 ,- ,0 0 0 1 ,3 2 1 1 0 ,O 11 ,8 6 ,44 ,38 ,55 ,119 2 
,,,,,,,,,,,,,,,,,
