,,,,,,,,,,NumerodeCasos,segunFecha,deInicio,deSintomas.,Notificacion,oToma,deMuestra,,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE ,SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Fallecidos ,Mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 ,12 13 ,14 ,15 ,16 17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 26 
Alhue8 ,7405 ,63 ,850.8 ,1 ,13.5 ,27 ,364.6 ,27 ,364.6 ,0 0 0 ,0 0 ,0 ,0 ,0 0 ,0 ,4 ,1 ,4 ,8 ,15 ,24 ,7 0 
Buin& ,109641 ,1556 ,1419.2 ,34 ,31.0 ,280 ,255.4 ,276 ,251.7 ,0 0 O ,5 17 ,10 ,15 ,18 19 ,62 ,136 ,189 ,227 ,217 ,277 ,257 ,106 1 
Calera de Tango8 ,28525 ,342 ,1198.9 ,2 ,7.0 ,81 ,284.0 ,81 ,284.0 ,O 0 0 ,4 4 ,1 ,1 ,5 1 ,8 ,18 ,31 ,36 ,69 ,68 ,70 ,25 1 
Cerrillos8 ,88956 ,2204 ,2477.6 ,35 ,39.3 ,320 ,359.7 ,318 ,357.5 ,1 3 1 ,4 11 ,13 ,20 ,21 69 ,228 ,203 ,276 ,313 ,269 ,348 ,315 ,107 2 
Cerro Navia8 ,142465 ,4696 ,3296.2 ,122 ,85.6 ,576 ,404.3 ,572 ,401.5 ,O 2 10 ,15 15 ,15 ,38 ,47 109 ,266 ,568 ,677 ,717 ,747 ,729 ,563 ,177 1 
Colina& ,180353 ,3590 ,1990.5 ,50 ,27.7 ,440 ,244.0 ,439 ,243.4 ,1 3 7 ,28 16 ,25 ,18 ,22 35 ,134 ,370 ,536 ,605 ,613 ,590 ,402 ,182 3 
Conchali& ,139195 ,4682 ,3363.6 ,118 ,84.8 ,573 ,411.7 ,573 ,411.7 ,O 4 2 ,17 14 ,19 ,40 ,73 134 ,381 ,632 ,703 ,661 ,637 ,624 ,521 ,220 0 
Curacavi ,36430 ,615 ,1688.2 ,6 ,16.5 ,94 ,258.0 ,94 ,258.0 ,1 0 1 ,2 5 ,5 ,4 ,1 6 ,18 ,39 ,69 ,95 ,137 ,103 ,89 ,40 0 
EI Bosque8 ,172000 ,4464 ,2595.3 ,88 ,51.2 ,695 ,404.1 ,692 ,402.3 ,O 0 1 ,14 23 ,34 ,52 ,47 87 ,222 ,400 ,551 ,551 ,749 ,827 ,658 ,248 0 
IMonte& ,40014 ,707 ,1766.9 ,13 ,32.5 ,159 ,397.4 ,157 ,392.4 ,0 2 1 ,1 1 ,7 ,4 ,2 8 ,15 ,39 ,73 ,137 ,101 ,122 ,117 ,77 0 
Estacion Central& ,206792 ,4844 ,2342.5 ,72 ,34.8 ,598 ,289.2 ,595 ,287.7 ,O 2 3 ,11 28 ,34 ,40 ,81 170 ,364 ,568 ,669 ,674 ,736 ,694 ,548 ,222 0 
Huechuraba ,112528 ,2871 ,2551.4 ,84 ,74.6 ,330 ,293.3 ,326 ,289.7 ,O 0 5 ,20 10 ,19 ,19 ,35 57 ,203 ,369 ,495 ,444 ,418 ,381 ,262 ,134 0 
Independencia& ,142065 ,5316 ,3741.9 ,154 ,108.4 ,449 ,316.1 ,445 ,313.2 ,O 0 4 ,16 10 ,26 ,49 ,145 308 ,573 ,782 ,771 ,760 ,723 ,555 ,428 ,165 1 
Isla de Maipo8 ,40171 ,440 ,1095.3 ,12 ,29.9 ,72 ,179.2 ,71 ,176.7 ,O 0 0 ,2 1 ,6 ,2 ,0 4 ,13 ,25 ,36 ,70 ,88 ,95 ,72 ,26 0 
La Cisterna& ,100434 ,2447 ,2436.4 ,59 ,58.7 ,365 ,363.4 ,361 ,359.4 ,1 O 2 ,10 15 ,19 ,18 ,28 64 ,120 ,239 ,329 ,305 ,423 ,409 ,305 ,160 0 
La Florida8 ,402433 ,10208 ,2536.6 ,218 ,54.2 ,1258 ,312.6 ,1251 ,310.9 ,1 2 12 ,31 59 ,63 ,72 ,106 200 ,577 ,991 ,1500 ,1705 ,1618 ,1637 ,1104 ,530 0 
La Granja ,122557 ,5434 ,4433.9 ,111 ,90.6 ,643 ,524.7 ,641 ,523.0 ,O 0 1 ,6 15 ,34 ,22 ,21 71 ,269 ,616 ,899 ,1020 ,795 ,810 ,615 ,238 2 
La Pintana& ,189335 ,7361 ,3887.8 ,138 ,72.9 ,880 ,464.8 ,877 ,463.2 ,1 1 3 ,9 21 ,34 ,48 ,94 153 ,318 ,654 ,864 ,1256 ,1365 ,1351 ,877 ,310 2 
La Reina& ,100252 ,1632 ,1627.9 ,41 ,40.9 ,241 ,240.4 ,241 ,240.4 ,0 0 12 ,15 12 ,18 ,8 ,14 41 ,76 ,125 ,218 ,300 ,249 ,233 ,208 ,103 0 
Lampa& ,126898 ,2582 ,2034.7 ,29 ,22.9 ,348 ,274.2 ,348 ,274.2 ,0 0 0 ,9 13 ,16 ,14 ,18 50 ,139 ,292 ,345 ,398 ,379 ,431 ,350 ,128 0 
Las Condes& ,330759 ,4478 ,1353.9 ,128 ,38.7 ,526 ,159.0 ,520 ,157.2 ,1 18 61 ,126 67 ,42 ,38 ,36 76 ,242 ,484 ,669 ,740 ,674 ,544 ,457 ,200 2 
Lo Barnechea8 ,124076 ,2341 ,1886.7 ,35 ,28.2 ,227 ,183.0 ,224 ,180.5 ,0 2 14 ,55 31 ,21 ,37 ,38 65 ,153 ,258 ,391 ,409 ,285 ,293 ,217 ,72 0 
Lo Espejo& ,103865 ,3103 ,2987.5 ,87 ,83.8 ,436 ,419.8 ,433 ,416.9 ,1 0 1 ,5 9 ,26 ,28 ,22 67 ,164 ,348 ,428 ,374 ,518 ,554 ,372 ,186 0 
