,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.NotificacionOTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 ,SE SE 20 21 ,SE SE 22 23 ,SE 24 ,SE SE 25 26 
Chepica ,15925 ,50 ,314.0 ,O ,0.0 ,30 ,188.4 ,30 ,188.4 ,1 O 0 0 O 0 0 O O O 1 ,7 O ,4 6 ,20 ,11 O 
Chimbarongo8 ,37696 ,71 ,188.3 ,1 ,2.7 ,17 ,45.1 ,17 ,45.1 ,0 0 O 2 1 0 0 0 1 1 5 ,13 8 ,7 12 ,17 ,4 0 
Codegua ,14096 ,57 ,404.4 ,1 ,7.1 ,24 ,170.3 ,24 ,170.3 ,O O O 1 O 0 0 0 0 0 1 ,3 7 ,10 11 ,13 ,11 0 
Coinco ,7831 ,44 ,561.9 ,1 ,12.8 ,14 ,178.8 ,14 ,178.8 ,O O O O O 0 O 0 1 O 4 ,10 8 ,2 5 ,6 ,8 O 
Coltauco& ,21263 ,71 ,333.9 ,3 ,14.1 ,23 ,108.2 ,23 ,108.2 ,0 0 O 0 O 0 0 O 0 O 15 ,9 13 ,4 4 ,9 ,17 0 
Donihue& ,22700 ,138 ,607.9 ,2 ,8.8 ,58 ,255.5 ,58 ,255.5 ,O 0 0 0 0 0 0 1 1 5 12 ,16 15 ,9 17 ,28 ,34 0 
Graneros8 ,36504 ,207 ,567.1 ,1 ,2.7 ,73 ,200.0 ,73 ,200.0 ,O 0 0 0 O 0 0 0 3 7 13 ,22 24 ,22 31 ,45 ,40 0 
La Estrella ,3114 ,11 ,353.2 ,O ,0.0 ,5 ,160.6 ,5 ,160.6 ,0 O O O O 0 0 O 0 O O ,O O ,1 4 ,6 ,O O 
Las Cabras& ,26749 ,57 ,213.1 ,0 ,0.0 ,25 ,93.5 ,25 ,93.5 ,0 0 0 O O 0 1 2 4 2 2 4 ,3 ,5 8 ,11 ,15 0 
Litueche& ,6765 ,46 ,680.0 ,1 ,14.8 ,23 ,340.0 ,23 ,340.0 ,0 0 0 0 O 0 0 1 5 2 2 ,3 0 ,1 6 ,14 ,12 0 
Lolol ,7289 ,27 ,370.4 ,O ,0.0 ,6 ,82.3 ,6 ,82.3 ,0 0 0 0 O 0 0 0 O O 1 ,2 1 ,10 4 ,7 ,2 O 
Machali& ,59913 ,346 ,577.5 ,3 ,5.0 ,171 ,285.4 ,171 ,285.4 ,O 0 1 4 1 0 4 0 5 4 9 ,18 25 ,33 49 ,91 ,102 0 
Malloa ,14163 ,25 ,176.5 ,0 ,0.0 ,5 ,35.3 ,5 ,35.3 ,0 0 0 0 O 0 0 0 O O 1 ,3 1 ,4 5 ,10 ,1 0 
Marchihue ,7632 ,12 ,157.2 ,O ,0.0 ,7 ,91.7 ,7 ,91.7 ,0 0 0 O O 0 0 0 0 O 0 O ,1 ,3 0 ,7 ,1 0 
Mostazal8 ,27462 ,112 ,407.8 ,3 ,10.9 ,31 ,112.9 ,31 ,112.9 ,0 0 0 0 O 0 0 0 0 3 4 ,6 15 ,21 28 ,24 ,11 O 
Nancagua ,19141 ,50 ,261.2 ,0 ,0.0 ,10 ,52.2 ,10 ,52.2 ,0 0 0 O O 0 O O 0 1 1 ,11 5 ,9 7 ,12 ,4 0 
Navidad ,6904 ,51 ,738.7 ,O ,0.0 ,18 ,260.7 ,18 ,260.7 ,O 0 0 0 O 0 0 0 3 0 6 2 ,6 ,1 11 ,14 ,8 0 
Olivar& ,14624 ,70 ,478.7 ,1 ,6.8 ,20 ,136.8 ,20 ,136.8 ,O 0 0 O 1 2 2 1 0 O 8 ,4 12 ,5 12 ,15 ,8 0 
Palmilla ,13299 ,19 ,142.9 ,1 ,7.5 ,7 ,52.6 ,7 ,52.6 ,0 0 0 0 O 0 O O 0 O O 2 ,3 ,1 5 ,7 ,1 0 
Paredones ,6349 ,11 ,173.3 ,0 ,0.0 ,3 ,47.3 ,3 ,47.3 ,0 0 0 0 O 0 0 O 0 O 0 2 ,2 ,1 3 ,2 ,1 0 
