,,,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas.,Notificacion,OTomade,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 ,SE SE SE SE 23 24 25 26 
Bulnes& ,22607 ,237 ,1048.3 ,4 ,17.7 ,23 ,101.7 ,23 ,101.7 ,O 0 0 ,9 27 ,10 7 ,8 8 9 27 ,40 ,25 19 ,17 16 15 0 
Chillan& ,198624 ,991 ,498.9 ,10 ,5.0 ,194 ,97.7 ,192 ,96.7 ,O 1 28 ,119 117 ,75 33 ,25 17 15 20 ,64 ,59 68 ,113 121 116 0 
Chillan Viejo& ,33827 ,175 ,517.3 ,1 ,3.0 ,36 ,106.4 ,36 ,106.4 ,0 0 5 ,7 19 ,7 14 ,3 1 0 4 ,15 ,22 11 ,27 21 19 0 
Cobquecura ,5275 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,0 O ,O 0 ,O 0 O 0 ,0 ,0 0 ,0 0 0 0 
Coelemu8 ,16845 ,58 ,344.3 ,0 ,0.0 ,19 ,112.8 ,19 ,112.8 ,O 0 0 ,0 2 ,2 O ,O 0 0 O ,2 ,6 11 ,8 9 18 0 
Coihueco ,28375 ,79 ,278.4 ,3 ,10.6 ,17 ,59.9 ,17 ,59.9 ,0 0 0 ,2 3 ,4 6 ,12 12 3 1 ,8 ,1 1 ,5 11 10 0 
EI Carmen ,12334 ,58 ,470.2 ,1 ,8.1 ,22 ,178.4 ,22 ,178.4 ,0 0 0 ,2 0 ,1 0 ,O 0 0 1 ,3 ,7 15 ,4 16 9 0 
Ninhue ,5414 ,24 ,443.3 ,1 ,18.5 ,9 ,166.2 ,9 ,166.2 ,O 0 0 ,0 O ,2 0 ,2 0 0 O ,1 ,3 2 ,2 7 5 0 
Niquen ,11567 ,62 ,536.0 ,1 ,8.6 ,14 ,121.0 ,14 ,121.0 ,0 0 0 ,1 0 ,1 2 ,0 0 1 0 ,5 ,3 11 ,17 18 2 1 
Pemuco& ,8639 ,71 ,821.9 ,0 ,0.0 ,47 ,544.0 ,47 ,544.0 ,0 0 0 ,1 0 ,4 1 ,0 0 0 3 ,1 ,2 6 ,4 20 29 0 
Pinto& ,11880 ,28 ,235.7 ,0 ,0.0 ,11 ,92.6 ,11 ,92.6 ,0 0 0 ,2 3 ,5 1 ,1 0 0 0 ,3 ,0 2 ,0 3 8 0 
Portezuelo ,4940 ,11 ,222.7 ,0 ,0.0 ,4 ,81.0 ,4 ,81.0 ,0 0 0 ,0 0 ,O 0 ,0 0 0 1 ,4 ,2 0 ,0 0 4 0 
Quillon& ,18777 ,117 ,623.1 ,2 ,10.7 ,29 ,154.4 ,29 ,154.4 ,0 0 0 ,8 8 ,8 1 ,0 2 2 2 ,9 ,6 13 ,24 19 15 0 
Quirihue& ,12192 ,29 ,237.9 ,0 ,0.0 ,6 ,49.2 ,6 ,49.2 ,0 0 0 ,0 1 ,2 0 ,1 0 1 7 ,4 ,1 4 ,1 1 6 0 
Ranquil ,6261 ,19 ,303.5 ,0 ,0.0 ,7 ,111.8 ,7 ,111.8 ,0 0 0 ,1 3 ,6 0 ,0 0 0 1 ,0 ,0 0 ,1 4 3 0 
San Carlos& ,56252 ,288 ,512.0 ,2 ,3.6 ,100 ,177.8 ,100 ,177.8 ,0 0 2 ,5 11 ,9 2 ,3 3 3 7 ,7 ,12 28 ,61 92 42 1 
San Fabian ,4654 ,9 ,193.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 ,3 3 ,1 0 ,1 0 0 0 ,O ,1 0 ,0 O 0 0 
San Ignacio& ,16624 ,129 ,776.0 ,2 ,12.0 ,81 ,487.2 ,80 ,481.2 ,0 0 0 ,2 3 ,1 0 ,1 3 3 O ,2 ,6 8 ,9 52 39 0 
San Nicolas ,12172 ,56 ,460.1 ,1 ,8.2 ,7 ,57.5 ,7 ,57.5 ,O 0 0 ,2 6 ,5 4 ,O 0 O 2 ,3 ,9 8 ,9 5 3 0 
Treguaco& ,5696 ,2 ,35.1 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 0 ,0 0 ,0 0 ,O 0 O O ,1 ,O O ,1 O O 0 
,18596 ,78 ,419.4 ,0 ,0.0 ,9 ,48.4 ,9 ,48.4 ,0 0 0 ,3 16 ,21 3 ,4 6 2 2 ,2 ,0 6 ,2 5 6 O 
