,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas.NotificacionO,TomadeMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE SE SE 17 18 19 20 ,SE 21 ,SE SE 22 23 ,SE SE SE 24 25 26 
Ancud& ,42458 ,95 ,223.8 ,1 ,2.4 ,3 ,7.1 ,3 ,7.1 ,O O 0 0 ,1 O 6 3 ,1 22 18 23 ,10 ,2 4 ,4 1 O 
Calbuco ,36744 ,21 ,57.2 ,O ,0.0 ,12 ,32.7 ,12 ,32.7 ,0 0 0 3 ,1 1 1 1 ,O 0 1 0 ,0 ,1 O ,1 11 0 
Castro ,47607 ,9 ,18.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 2 ,O 5 O 0 ,O O 1 0 ,O ,O O ,1 O 0 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 O ,1 O O O ,O O O O ,O ,O O ,O O O 
Chonchi ,16013 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O 0 O O ,O O 0 O ,O ,O O ,O O 0 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O 0 ,O 0 1 0 ,O 0 0 0 ,0 ,O O ,O 0 0 
Curaco de Velez ,4066 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 0 ,0 0 0 0 ,0 0 0 O ,0 ,O O ,O 0 O 
Dalcahue ,15069 ,7 ,46.5 ,O ,0.0 ,1 ,6.6 ,1 ,6.6 ,O O O 0 ,O 0 0 O ,O 0 1 3 ,2 ,O O ,1 O O 
Fresia& ,12656 ,7 ,55.3 ,0 ,0.0 ,6 ,47.4 ,6 ,47.4 ,0 O O 0 ,O 0 O O ,O O 0 0 ,O ,O O ,7 0 0 
Frutillar ,20223 ,47 ,232.4 ,0 ,0.0 ,31 ,153.3 ,31 ,153.3 ,0 0 0 0 ,1 3 2 0 ,0 0 1 0 ,3 ,2 3 ,6 26 0 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 0 ,O 0 0 0 ,0 0 0 1 ,0 ,O O ,0 0 O 
Hualaihue& ,9525 ,8 ,84.0 ,O ,0.0 ,3 ,31.5 ,3 ,31.5 ,O O O 0 ,3 0 0 0 ,O O 0 O ,O ,1 1 ,1 2 0 
Llanquihue ,18621 ,66 ,354.4 ,0 ,0.0 ,52 ,279.3 ,52 ,279.3 ,0 0 O 0 ,1 0 O 0 ,0 0 5 0 ,0 ,3 2 ,15 40 0 
Los Muermos ,17817 ,13 ,73.0 ,O ,0.0 ,11 ,61.7 ,11 ,61.7 ,0 O O 1 ,O 0 0 0 ,0 O 1 O ,O ,O O ,3 8 O 
Maullin ,14894 ,18 ,120.9 ,0 ,0.0 ,2 ,13.4 ,2 ,13.4 ,O 0 O 0 ,0 0 1 0 ,O 0 0 5 ,9 ,O O ,1 2 O 
Osorno& ,173410 ,459 ,264.7 ,11 ,6.3 ,30 ,17.3 ,30 ,17.3 ,0 O 3 59 ,104 64 36 18 ,15 24 17 9 ,19 ,30 23 ,26 12 0 
Palena ,1827 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 0 0 0 ,0 0 0 0 ,0 ,O 0 ,0 0 0 
Puerto Montt& ,269398 ,431 ,160.0 ,2 ,0.7 ,133 ,49.4 ,133 ,49.4 ,O 1 2 14 ,18 11 3 5 ,2 1 9 17 ,56 ,58 69 ,97 67 1 
Puerto Octay ,9192 ,6 ,65.3 ,0 ,0.0 ,1 ,10.9 ,1 ,10.9 ,0 O 0 1 ,O 0 0 1 ,1 O 2 0 ,0 ,O O ,O 1 0 
Puerto Varas& ,48620 ,66 ,135.7 ,1 ,2.1 ,13 ,26.7 ,13 ,26.7 ,O O 1 0 ,2 3 2 1 ,O 0 1 4 ,7 ,8 21 ,8 8 0 
