,,,,,,,,,,Numero,deCasossegunFechadeIniciodeSintomas.,Notificacion,oTomade,Muestra,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE ,SE SE SE SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE 
,,Confirmados ,acumulada ,Fallecidos ,Mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 ,12 13 14 15 16 ,17 ,18 19 ,20 ,21 ,22 ,23 24 ,25 ,26 
Alhue ,7405 ,75 ,1012.8 ,1 ,13.5 ,18 ,243.1 ,18 ,243.1 ,0 O 0 ,O 0 1 0 O ,0 ,0 4 ,1 ,4 ,8 ,15 24 ,14 ,4 
Buin& ,109641 ,1701 ,1551.4 ,46 ,42.0 ,243 ,221.6 ,239 ,218.0 ,0 0 0 ,5 17 10 15 18 ,19 ,62 136 ,188 ,229 ,217 ,280 262 ,184 ,59 
Calera de Tango ,28525 ,406 ,1423.3 ,3 ,10.5 ,86 ,301.5 ,86 ,301.5 ,0 0 0 ,4 4 1 1 5 ,1 ,8 19 ,31 ,36 ,69 ,69 72 ,52 ,34 
Cerrillos& ,88956 ,2384 ,2680.0 ,42 ,47.2 ,281 ,315.9 ,281 ,315.9 ,1 3 1 ,4 11 14 20 21 ,68 ,226 203 ,276 ,313 ,270 ,345 327 ,219 ,62 
Cerro Navia& ,142465 ,5152 ,3616.3 ,173 ,121.4 ,563 ,395.2 ,558 ,391.7 ,0 2 10 ,16 15 14 37 49 ,108 ,267 566 ,678 ,720 ,744 ,743 620 ,448 ,115 
Colina& ,180353 ,3837 ,2127.5 ,67 ,37.1 ,412 ,228.4 ,407 ,225.7 ,1 3 7 ,28 16 25 18 22 ,36 ,134 369 ,537 ,608 ,612 ,596 413 ,308 ,104 
Conchali& ,139195 ,5060 ,3635.2 ,152 ,109.2 ,546 ,392.3 ,544 ,390.8 ,0 3 2 ,17 14 19 40 73 ,133 ,378 630 ,709 ,665 ,643 ,638 550 ,424 ,122 
Curacavi ,36430 ,676 ,1855.6 ,10 ,27.4 ,88 ,241.6 ,88 ,241.6 ,1 0 1 ,2 5 5 4 1 ,4 ,18 40 ,70 ,95 ,137 ,104 101 ,64 ,24 
El Bosque ,172000 ,4906 ,2852.3 ,129 ,75.0 ,639 ,371.5 ,634 ,368.6 ,0 0 1 ,14 23 34 52 47 ,87 ,222 402 ,551 ,549 ,747 ,837 701 ,489 ,150 
EI Monte& ,40014 ,799 ,1996.8 ,23 ,57.5 ,168 ,419.9 ,163 ,407.4 ,0 2 1 ,1 1 7 4 3 ,7 ,16 39 ,72 ,138 ,100 ,125 115 ,142 ,26 
Estacion Central& ,206792 ,5180 ,2504.9 ,95 ,45.9 ,539 ,260.6 ,535 ,258.7 ,0 2 3 ,11 28 34 40 81 ,170 ,365 567 ,670 ,675 ,735 ,698 562 ,404 ,135 
Huechuraba ,112528 ,3093 ,2748.6 ,102 ,90.6 ,335 ,297.7 ,332 ,295.0 ,0 0 5 ,20 10 19 20 34 ,57 ,201 369 ,499 ,447 ,419 ,381 277 ,276 ,59 
Independencia& ,142065 ,5563 ,3915.8 ,165 ,116.1 ,390 ,274.5 ,388 ,273.1 ,0 0 4 ,16 10 26 50 146 ,308 ,569 779 ,772 ,761 ,724 ,565 443 ,298 ,92 
Isla de Maipo& ,40171 ,517 ,1287.0 ,13 ,32.4 ,96 ,239.0 ,95 ,236.5 ,0 0 0 ,2 1 6 2 0 ,4 ,13 25 ,36 ,70 ,89 ,97 76 ,71 ,25 
La Cisterna& ,100434 ,2615 ,2603.7 ,81 ,80.6 ,312 ,310.7 ,307 ,305.7 ,1 0 3 ,10 13 20 18 28 ,64 ,121 240 ,327 ,306 ,425 ,413 314 ,261 ,51 
La Florida ,402433 ,11143 ,2768.9 ,289 ,71.8 ,1278 ,317.6 ,1265 ,314.3 ,1 2 12 ,31 59 65 78 106 ,204 ,591 1016 ,1526 ,1716 ,1626 ,1660 1172 ,974 ,304 
La Granja& ,122557 ,5868 ,4788.0 ,142 ,115.9 ,632 ,515.7 ,628 ,512.4 ,0 0 1 ,6 16 35 22 21 ,72 ,268 614 ,917 ,1023 ,800 ,812 629 ,479 ,153 
La Pintana& ,189335 ,7928 ,4187.3 ,201 ,106.2 ,787 ,415.7 ,780 ,412.0 ,1 1 3 ,9 21 34 48 94 ,153 ,321 666 ,875 ,1262 ,1363 ,1366 924 ,605 ,182 
La Reina& ,100252 ,1766 ,1761.6 ,53 ,52.9 ,218 ,217.5 ,216 ,215.5 ,0 0 12 ,15 12 18 8 13 ,41 ,75 124 ,221 ,304 ,252 ,239 214 ,162 ,56 
Lampa& ,126898 ,2778 ,2189.2 ,35 ,27.6 ,308 ,242.7 ,308 ,242.7 ,0 0 0 ,9 13 15 14 18 ,50 ,138 294 ,347 ,397 ,378 ,435 362 ,231 ,77 
Las Condes8 ,330759 ,4747 ,1435.2 ,189 ,57.1 ,431 ,130.3 ,418 ,126.4 ,1 18 60 ,128 69 42 38 34 ,74 ,241 490 ,677 ,742 ,671 ,553 477 ,328 ,103 
Lo Barnechea ,124076 ,2610 ,2103.5 ,45 ,36.3 ,143 ,115.3 ,142 ,114.4 ,0 2 14 ,55 30 22 37 39 ,66 ,150 262 ,398 ,411 ,356 ,325 300 ,108 ,35 
Lo Espejo& ,103865 ,3369 ,3243.6 ,112 ,107.8 ,433 ,416.9 ,430 ,414.0 ,1 0 1 ,5 9 25 30 21 ,68 ,165 344 ,427 ,377 ,517 ,557 389 ,333 ,100 
