,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas.Notificacion,OTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 ,SE SE 23 24 ,SE SE 25 26 
Bulnes ,22607 ,251 ,1110.3 ,5 ,22.1 ,29 ,128.3 ,28 ,123.9 ,0 0 O 9 ,27 10 7 ,8 8 9 23 ,44 ,25 19 ,17 16 ,18 11 
Chillan ,198624 ,1125 ,566.4 ,13 ,6.5 ,249 ,125.4 ,249 ,125.4 ,0 1 28 119 ,117 75 33 ,25 17 15 20 ,64 ,59 68 ,112 123 ,169 80 
Chillan Viejo ,33827 ,188 ,555.8 ,1 ,3.0 ,31 ,91.6 ,31 ,91.6 ,0 O 5 7 ,19 7 14 ,3 1 0 4 ,15 ,22 12 ,27 21 ,23 8 
Cobquecura8 ,5275 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O 0 ,0 O O ,0 O O O ,O ,O 0 ,O 0 ,0 O 
Coelemu ,16845 ,62 ,368.1 ,1 ,5.9 ,22 ,130.6 ,22 ,130.6 ,0 0 O 0 ,2 2 O ,O O 0 O ,2 ,6 11 ,8 9 ,18 4 
Coihueco& ,28375 ,92 ,324.2 ,4 ,14.1 ,23 ,81.1 ,23 ,81.1 ,0 O O 2 ,3 4 6 ,12 12 3 1 ,8 ,1 1 ,5 11 ,15 8 
EI Carmen ,12334 ,63 ,510.8 ,1 ,8.1 ,14 ,113.5 ,14 ,113.5 ,0 0 O 2 ,0 1 O ,0 O 0 1 ,3 ,7 15 ,4 16 ,9 5 
Ninhue ,5414 ,33 ,609.5 ,2 ,36.9 ,14 ,258.6 ,14 ,258.6 ,0 0 O 0 ,0 2 O ,2 O 0 O ,1 ,3 2 ,2 7 ,7 7 
Niquen ,11567 ,66 ,570.6 ,2 ,17.3 ,7 ,60.5 ,7 ,60.5 ,0 0 O 1 ,O 1 2 ,0 O 1 O ,5 ,3 11 ,17 18 ,4 3 
Pemuco ,8639 ,74 ,856.6 ,0 ,0.0 ,32 ,370.4 ,32 ,370.4 ,O 0 O 1 ,0 4 1 ,O 0 O 3 ,1 ,2 5 ,5 20 ,31 1 
Pinto ,11880 ,34 ,286.2 ,0 ,0.0 ,14 ,117.8 ,14 ,117.8 ,0 0 0 2 ,3 5 1 ,1 O 0 0 ,3 ,0 2 ,0 3 ,8 6 
Portezuelo ,4940 ,11 ,222.7 ,0 ,0.0 ,4 ,81.0 ,4 ,81.0 ,O 0 O 0 ,0 O O ,O O 0 1 ,4 ,2 O ,O 0 ,4 O 
Quillon ,18777 ,122 ,649.7 ,3 ,16.0 ,19 ,101.2 ,19 ,101.2 ,O O O 8 ,8 8 1 ,0 2 2 2 ,9 ,6 13 ,24 20 ,15 4 
Quirihue ,12192 ,39 ,319.9 ,1 ,8.2 ,16 ,131.2 ,16 ,131.2 ,0 O 0 0 ,1 2 0 ,1 0 1 7 ,4 ,1 4 ,1 1 ,8 8 
Ranquil ,6261 ,21 ,335.4 ,O ,0.0 ,5 ,79.9 ,5 ,79.9 ,O O 0 1 ,3 6 0 ,0 0 0 1 ,0 ,0 0 ,1 4 ,5 0 
San Carlos& ,56252 ,315 ,560.0 ,2 ,3.6 ,70 ,124.4 ,70 ,124.4 ,0 0 2 5 ,11 9 2 ,3 3 3 7 ,7 ,13 28 ,60 92 ,51 19 
San Fabian ,4654 ,9 ,193.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 3 ,3 1 0 ,1 0 0 0 ,0 ,1 O ,0 0 ,0 O 
San Ignacio ,16624 ,132 ,794.0 ,2 ,12.0 ,42 ,252.6 ,42 ,252.6 ,O 0 0 2 ,3 1 0 ,1 3 3 0 ,2 ,6 8 ,9 52 ,38 4 
San Nicolas ,12172 ,63 ,517.6 ,1 ,8.2 ,10 ,82.2 ,10 ,82.2 ,0 0 0 2 ,6 5 4 ,0 0 0 2 ,3 ,9 8 ,9 5 ,3 7 
Treguaco ,5696 ,3 ,52.7 ,O ,0.0 ,1 ,17.6 ,1 ,17.6 ,0 0 O 0 ,0 O O ,0 0 0 0 ,1 ,0 0 ,1 0 ,1 O 
Yungay ,18596 ,93 ,500.1 ,0 ,0.0 ,21 ,112.9 ,21 ,112.9 ,0 0 O 3 ,16 21 3 ,4 6 2 2 ,2 ,0 6 ,2 5 ,11 10 
