,,,,,,,,Numero,deCasos,segunFechadeIniciode,Sintomas.,Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE SE 24 25 26 
Angol ,56058 ,349 ,622.6 ,7 ,12.5 ,53 ,94.5 ,53 ,94.5 ,0 1 1 3 10 ,11 ,15 35 ,27 12 ,11 7 ,24 ,19 57 ,63 45 8 
Carahue ,25486 ,82 ,321.7 ,0 ,0.0 ,9 ,35.3 ,9 ,35.3 ,0 0 0 O 3 ,10 ,9 8 ,5 1 ,0 2 ,14 ,11 5 ,5 7 2 
Cholchol& ,12341 ,25 ,202.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 2 ,0 ,O 1 ,0 0 ,1 0 ,1 ,12 5 ,2 0 0 
Collipulli ,26148 ,57 ,218.0 ,3 ,11.5 ,9 ,34.4 ,9 ,34.4 ,O O 0 O O ,1 ,1 1 ,3 0 ,2 9 ,9 ,6 7 ,9 6 3 
Cunco ,18055 ,56 ,310.2 ,2 ,11.1 ,7 ,38.8 ,7 ,38.8 ,0 0 0 0 3 ,2 ,0 1 ,0 0 ,1 5 ,18 ,0 11 ,8 3 4 
Curacautin ,18178 ,23 ,126.5 ,1 ,5.5 ,O ,0.0 ,O ,0.0 ,0 0 0 2 O ,2 ,0 0 ,2 0 ,1 0 ,1 ,2 4 ,9 O 0 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,O ,0.0 ,0 ,0.0 ,0 O 1 1 2 ,0 ,O O ,0 0 ,O O ,0 ,O O ,O 0 0 
Ercilla& ,8458 ,19 ,224.6 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 O O ,4 ,1 4 ,1 1 ,0 0 ,4 ,1 1 ,2 0 0 
Freire& ,25446 ,107 ,420.5 ,1 ,3.9 ,8 ,31.4 ,8 ,31.4 ,O 0 0 2 4 ,O ,0 2 ,0 1 ,12 11 ,28 ,16 18 ,5 8 0 
Galvarino& ,12633 ,116 ,918.2 ,O ,0.0 ,8 ,63.3 ,8 ,63.3 ,O 0 O O O ,2 ,0 O ,O 1 ,O O ,6 ,43 43 ,13 6 2 
Gorbea& ,15148 ,38 ,250.9 ,1 ,6.6 ,0 ,0.0 ,0 ,0.0 ,0 O 1 4 4 ,2 ,O 1 ,0 2 ,3 O ,5 ,5 5 ,6 0 O 
Lautaro ,40746 ,122 ,299.4 ,2 ,4.9 ,13 ,31.9 ,13 ,31.9 ,1 0 0 6 3 ,15 ,5 6 ,2 8 ,9 3 ,14 ,21 6 ,10 6 7 
Loncoche& ,24739 ,70 ,283.0 ,1 ,4.0 ,12 ,48.5 ,12 ,48.5 ,O O O 2 3 ,2 ,4 3 ,3 3 ,3 2 ,7 ,19 1 ,6 4 8 
Lonquimay8 ,11049 ,71 ,642.6 ,2 ,18.1 ,3 ,27.2 ,3 ,27.2 ,O 0 0 O O ,0 ,O O ,2 13 ,13 27 ,12 ,1 O ,O 3 O 
Los Sauces ,7517 ,9 ,119.7 ,O ,0.0 ,1 ,13.3 ,1 ,13.3 ,0 O 0 O O ,0 ,O 1 ,0 0 ,O O ,1 ,3 2 ,1 1 0 
Lumaco ,10050 ,42 ,417.9 ,O ,0.0 ,12 ,119.4 ,12 ,119.4 ,0 O 0 0 O ,0 ,0 4 ,2 1 ,0 1 ,3 ,2 9 ,8 8 4 
Melipeuco ,6265 ,8 ,127.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O O ,O ,0 O ,O 0 ,O O ,5 ,2 1 ,O 0 0 
Nueva Imperia ,33777 ,112 ,331.6 ,2 ,5.9 ,12 ,35.5 ,12 ,35.5 ,0 0 0 4 10 ,4 ,13 6 ,3 2 ,6 5 ,2 ,3 23 ,19 10 2 
Padre Las Casas& ,82110 ,180 ,219.2 ,5 ,6.1 ,3 ,3.7 ,3 ,3.7 ,0 0 0 12 28 ,24 ,16 17 ,11 0 ,5 24 ,16 ,13 4 ,7 2 1 
Perquenco ,7223 ,26 ,360.0 ,0 ,0.0 ,8 ,110.8 ,8 ,110.8 ,0 O 0 1 1 ,O ,O 3 ,O 0 ,1 O ,O ,2 7 ,3 6 2 
