,,,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas.NotificacionOTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ,SE 25 
Corral ,5447 ,24 ,440.6 ,0 ,0.0 ,2 ,36.7 ,2 ,36.7 ,0 0 O O 0 0 0 1 0 O 6 4 2 2 5 2 ,1 
Futrono ,15261 ,60 ,393.2 ,0 ,0.0 ,2 ,13.1 ,2 ,13.1 ,O O O 1 3 1 0 O O O 1 5 19 8 15 5 ,1 
La Union ,39538 ,87 ,220.0 ,2 ,5.1 ,12 ,30.4 ,12 ,30.4 ,O 0 1 5 8 4 6 9 5 2 2 2 2 6 11 12 ,7 
Lago Ranco ,10292 ,6 ,58.3 ,0 ,0.0 ,4 ,38.9 ,4 ,38.9 ,0 O O 1 1 O 0 O O O 0 O 0 0 0 O ,1 
Lanco ,17652 ,28 ,158.6 ,0 ,0.0 ,4 ,22.7 ,4 ,22.7 ,0 0 0 0 1 2 1 2 1 3 0 O 0 1 3 10 ,3 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,4 ,19.5 ,4 ,19.5 ,0 0 O 0 O 0 0 O 0 O O 1 12 11 14 21 ,4 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,1 ,13.5 ,1 ,13.5 ,0 0 O 1 O 0 0 1 0 O 0 1 2 O 2 12 ,1 
Mariquina ,23250 ,22 ,94.6 ,0 ,0.0 ,2 ,8.6 ,2 ,8.6 ,0 O O 3 1 4 1 O O O 2 1 3 2 0 3 ,1 
Paillaco ,20798 ,29 ,139.4 ,0 ,0.0 ,3 ,14.4 ,3 ,14.4 ,0 0 O 1 0 0 0 O 0 0 0 8 13 3 0 1 ,3 
Panguipulli ,35991 ,55 ,152.8 ,1 ,2.8 ,13 ,36.1 ,13 ,36.1 ,O 0 O 0 O O 0 1 0 1 0 4 4 8 18 6 ,8 
Rio Bueno ,32925 ,24 ,72.9 ,O ,0.0 ,5 ,15.2 ,5 ,15.2 ,O 0 O 3 1 3 2 1 2 1 0 O 3 1 1 1 ,3 
Valdivia ,176774 ,303 ,171.4 ,6 ,3.4 ,65 ,36.8 ,65 ,36.8 ,O 1 1 25 32 25 18 9 8 4 2 10 30 24 16 33 ,40 
Desconocido ,-- ,6 ,- ,O ,- ,1 ,- ,1 ,- ,0 O 1 O O 0 1 1 0 O 0 O 0 1 0 1 ,1 
Total ,405835 ,727 ,179.1 ,10 ,2.5 ,118 ,29.1 ,118 ,29.1 ,0 1 3 40 47 39 29 25 16 11 13 36 90 67 85 107 ,74 
