,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas.,NotificacionOToma,deMuestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE 19 20 ,SE SE 21 22 ,SE SE SE SE 23 24 25 26 
Ancud ,42458 ,102 ,240.2 ,1 ,2.4 ,8 ,18.8 ,8 ,18.8 ,0 0 0 0 ,1 0 ,6 3 1 21 ,19 23 ,10 2 ,4 4 1 7 
Calbuco ,36744 ,44 ,119.7 ,1 ,2.7 ,34 ,92.5 ,33 ,89.8 ,0 0 0 3 ,1 1 ,1 1 0 0 ,1 0 ,0 1 ,0 1 16 18 
Castro ,47607 ,9 ,18.9 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 2 ,0 5 ,0 0 0 0 ,1 0 ,O O ,O 1 0 O 
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 0 ,1 0 ,O 0 0 O ,0 0 ,O O ,0 0 O O 
Chonchi& ,16013 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 0 ,0 0 ,0 0 0 0 ,0 0 ,0 0 ,O 0 O O 
Cochamo ,4006 ,5 ,124.8 ,0 ,0.0 ,4 ,99.9 ,4 ,99.9 ,O O O O ,0 0 ,1 0 0 0 ,0 0 ,0 0 ,O 0 1 3 
Curaco de Velez ,4066 ,9 ,221.3 ,0 ,0.0 ,8 ,196.8 ,8 ,196.8 ,O 0 0 0 ,0 0 ,O 0 0 0 ,0 0 ,O O ,O 1 1 7 
Dalcahue ,15069 ,7 ,46.5 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 0 ,0 0 ,O 0 0 0 ,1 3 ,2 O ,O 1 O O 
Fresia ,12656 ,9 ,71.1 ,0 ,0.0 ,2 ,15.8 ,2 ,15.8 ,0 0 0 0 ,0 O ,O 0 0 O ,0 0 ,0 O ,O 7 1 1 
Frutillar ,20223 ,53 ,262.1 ,0 ,0.0 ,32 ,158.2 ,32 ,158.2 ,O O 0 0 ,1 3 ,2 0 0 0 ,1 0 ,3 2 ,3 6 23 9 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 0 ,0 0 ,0 0 0 0 ,0 1 ,0 O ,O 0 0 O 
Hualaihue ,9525 ,13 ,136.5 ,0 ,0.0 ,7 ,73.5 ,7 ,73.5 ,0 0 0 0 ,3 O ,O 0 0 0 ,0 0 ,0 1 ,1 1 3 4 
Llanquihue ,18621 ,62 ,333.0 ,1 ,5.4 ,38 ,204.1 ,38 ,204.1 ,O O O O ,1 0 ,O O 0 O ,5 O ,O 3 ,3 12 18 20 
Los Muermos ,17817 ,16 ,89.8 ,0 ,0.0 ,12 ,67.4 ,12 ,67.4 ,O O 0 1 ,0 O ,O O 0 O ,1 O ,O O ,O 2 10 2 
Maullin ,14894 ,20 ,134.3 ,0 ,0.0 ,4 ,26.9 ,4 ,26.9 ,O 0 0 0 ,O 0 ,1 O 0 O ,0 5 ,9 O ,O 1 2 2 
Osorno ,173410 ,466 ,268.7 ,12 ,6.9 ,20 ,11.5 ,20 ,11.5 ,O O 3 59 ,104 64 ,36 18 15 24 ,17 8 ,20 30 ,23 25 16 4 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O 0 ,O O O O ,O O ,O O ,O O O O 
Puerto Montt& ,269398 ,525 ,194.9 ,3 ,1.1 ,157 ,58.3 ,156 ,57.9 ,O 1 2 14 ,18 11 ,3 5 1 1 ,9 18 ,56 59 ,71 99 110 47 
Puerto Octay ,9192 ,5 ,54.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 1 ,0 0 ,O 1 1 O ,2 0 ,0 O ,0 0 0 O 
Puerto Varas ,48620 ,74 ,152.2 ,1 ,2.1 ,15 ,30.9 ,15 ,30.9 ,O O 1 O ,2 3 ,2 1 0 0 ,1 4 ,7 8 ,21 9 9 6 
