,,Numero,de,Casossegun,Fecha,de,Iniciode,Sintomas.,,Notificacion,OToma,de,Muestra,
Region de Notificacion O Toma de Muestra ,Residencia Desconocida ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE 16 ,SE SE 17 18 ,SE 19 ,SE 20 ,SE 21 ,SE 22 ,SE 23 ,SE 24 ,SE 25 ,SE 26 
Region de Arica y Parinacota ,3 ,O O O 1 ,O O ,1 ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,1 
Region de Tarapaca ,260 ,O O O O ,O 1 ,O ,O ,1 4 ,81 ,29 ,32 ,25 ,23 ,28 ,20 ,16 
Region de Antofagasta ,86 ,O O O O ,O O ,O ,O ,5 O ,1 ,1 ,O ,O ,5 ,11 ,45 ,18 
Region de Atacama ,9 ,O O O O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,9 ,O 
Region de Coquimbo ,120 ,O O O 1 ,O 1 ,O ,1 ,1 1 ,1 ,3 ,10 ,8 ,9 ,30 ,25 ,29 
Region de Valparaiso ,291 ,O O O 1 ,3 2 ,1 ,1 ,O O ,11 ,8 ,6 ,42 ,34 ,44 ,78 ,60 
Region Metropolitana de Santiago ,18109 ,O O 7 7 ,15 56 ,175 ,362 ,620 792 ,1662 ,2712 ,2943 ,2167 ,1544 ,1859 ,1961 ,1227 
Region del Libertador General Bernardo OHiggins ,141 ,O O O O ,O O ,2 ,O ,O O ,1 ,2 ,12 ,O ,8 ,5 ,62 ,49 
Region del Maule ,50 ,O O O 1 ,O 0 ,O ,O ,1 O ,O ,1 ,O ,4 ,6 ,7 ,12 ,18 
Region del Nuble ,4 ,O O O O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,4 
Region del Biobio ,160 ,O O O 1 ,O O ,O ,O ,O O ,2 ,4 ,6 ,6 ,8 ,16 ,50 ,67 
Region de la Araucania ,8 ,0 0 0 O ,2 O ,O ,O ,O O ,1 ,O ,1 ,1 ,0 ,1 ,2 ,O 
Region de Los Rios ,6 ,O O 1 O ,O O ,1 ,1 ,O O ,O ,O ,O ,1 ,O ,1 ,1 ,O 
Region de Los Lagos ,44 ,O O 9 10 ,3 1 ,O ,O ,2 O ,O ,1 ,2 ,3 ,1 ,1 ,7 ,4 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O 
Region de Magallanes y la Antartica Chilena ,68 ,O O O 1 ,O 1 ,42 ,14 ,4 2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 
