Fecha,Fechanotificacion,Fechaprimerossintomas
22-02-20 ,0 ,1 
23-02-20 ,O ,1 
24-02-20 ,O ,5 
25-02-20 ,0 ,14 
26-02-20 ,0 ,1 
27-02-20 ,0 ,3 
28-02-20 ,1 ,4 
29-02-20 ,0 ,O 
01-03-20 ,0 ,9 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,8 
05-03-20 ,4 ,32 
06-03-20 ,2 ,15 
07-03-20 ,2 ,14 
08-03-20 ,6 ,24 
09-03-20 ,2 ,35 
10-03-20 ,12 ,66 
11-03-20 ,17 ,52 
12-03-20 ,14 ,70 
13-03-20 ,24 ,118 
14-03-20 ,49 ,153 
15-03-20 ,50 ,177 
16-03-20 ,88 ,282 
17-03-20 ,149 ,254 
18-03-20 ,111 ,271 
19-03-20 ,152 ,299 
20-03-20 ,176 ,360 
21-03-20 ,166 ,310 
22-03-20 ,158 ,305 
23-03-20 ,215 ,394 
24-03-20 ,288 ,335 
25-03-20 ,359 ,347 
26-03-20 ,379 ,347 
27-03-20 ,391 ,359 
28-03-20 ,286 ,327 
29-03-20 ,304 ,294 
30-03-20 ,382 ,397 
31-03-20 ,362 ,341 
01-04-20 ,353 ,479 
02-04-20 ,455 ,398 
03-04-20 ,431 ,401 
04-04-20 ,332 ,386 
05-04-20 ,254 ,361 
06-04-20 ,514 ,474 
07-04-20 ,543 ,432 
08-04-20 ,487 ,414 
09-04-20 ,473 ,466 
10-04-20 ,269 ,474 
11-04-20 ,317 ,368 
12-04-20 ,242 ,405 
