Regiondresidencia,DefuncionesTasa,observadaTasa,ajustada
Chile ,2846 ,146 ,9.2 
De Arica Y Parinacota ,22 ,8.7 ,6.0 
De Tarapaca ,24 ,6.3 ,5.5 
De Antofagasta ,99 ,14.3 ,13.0 
De Atacama ,14 ,4.4 ,3.4 
De Coquimbo ,39 ,4.7 ,2.6 
De Valparaiso ,248 ,12.7 ,6.9 
Metropolitana de Santiago ,1815 ,22.3 ,15.3 
Del Libertador Gral Bernardo O Higgins ,92 ,9.3 ,5.7 
Del Maule ,138 ,12.2 ,7.2 
De Nuble ,28 ,5.5 ,2.7 
Del Biobio ,103 ,6.2 ,38 
De La Araucania ,108 ,10.6 ,5.8 
De Los Rios ,30 ,7.4 ,3.7 
De Los Lagos ,49 ,5.5 ,3.4 
De Aisen Del Gral C Ibanez Del Campo ,4 ,3.7 ,2.4 
De Magallanes y de La Antartica Chilena ,33 ,18.5 ,11.4 
Ignorada ,0 ,- ,
