Regionderesidencia,Defunciones,Tasaobservada,Tasaajustada
Chile ,8935 ,45.9 ,28.8 
De Arica Y Parinacota ,45 ,17.8 ,12.4 
De Tarapaca ,124 ,32.4 ,28.3 
De Antofagasta ,258 ,37.3 ,34.0 
De Atacama ,16 ,5.1 ,3.8 
De Coquimbo ,67 ,8.0 ,4.5 
De Valparaiso ,495 ,25.3 ,13.8 
Metropolitana de Santiago ,6988 ,86.0 ,58.6 
Del Libertador Gral Bernardo O Higgins ,179 ,18.1 ,11.1 
Del Maule ,192 ,17.0 ,9.8 
De Nuble ,66 ,12.9 ,6.7 
Del Biobio ,160 ,9.6 ,5.8 
De La Araucania ,171 ,16.9 ,9.1 
De LOs Rios ,41 ,10.1 ,5.2 
De Los Lagos ,71 ,8.0 ,4.9 
De Aisen De Gral C Ibanez Del Campo ,5 ,4.7 ,3.5 
De Magallanes y de La Antartica Chilena ,56 ,31.4 ,18.8 
Ignorada ,1 ,- ,
