Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,11 ,192.0 ,0 ,0.0 ,1 ,17.5 ,1 ,17.5 
Caldera ,19426 ,81 ,417.0 ,0 ,0.0 ,21 ,108.1 ,21 ,108.1 
Chanaral ,13164 ,49 ,372.2 ,O ,0.0 ,11 ,83.6 ,11 ,83.6 
Copiapo ,& 171766 ,1825 ,1062.5 ,9 ,5.2 ,581 ,338.3 ,581 ,338.3 
Diego de Almagro ,14358 ,54 ,376.1 ,3 ,20.9 ,3 ,20.9 ,3 ,20.9 
Freirina ,& 7681 ,55 ,716.1 ,O ,0.0 ,10 ,130.2 ,10 ,130.2 
Huasco ,11264 ,32 ,284.1 ,0 ,0.0 ,6 ,53.3 ,6 ,53.3 
Tierra Amarilla ,& 14312 ,161 ,1124.9 ,0 ,0.0 ,47 ,328.4 ,47 ,328.4 
Vallenar ,& 57009 ,461 ,808.6 ,O ,0.0 ,40 ,70.2 ,40 ,70.2 
Desconocido ,& - ,18 ,- ,0 ,- ,4 ,- ,4 ,- 
Total ,314709 ,2747 ,872.9 ,12 ,3.8 ,724 ,230.1 ,724 ,230.1 
