Papudo,&,6201,82,1322.4,2,32.3,4,64.5,4,64.5
Petorca ,& ,10558 ,86 ,814.5 ,1 ,9.5 ,6 ,56.8 ,6 ,56.8 
Puchuncavi ,& ,20071 ,164 ,817.1 ,4 ,19.9 ,8 ,39.9 ,8 ,39.9 
Putaendo ,& ,17645 ,217 ,1229.8 ,6 ,34.0 ,19 ,107.7 ,19 ,107.7 
Quillota ,& ,97572 ,1485 ,1522.0 ,35 ,35.9 ,97 ,99.4 ,97 ,99.4 
Quilpue ,& ,167085 ,1515 ,906.7 ,37 ,22.1 ,75 ,44.9 ,74 ,44.3 
Quintero ,& ,36135 ,387 ,1071.0 ,8 ,22.1 ,15 ,41.5 ,15 ,41.5 
Rinconada ,& ,11263 ,171 ,1518.2 ,4 ,35.5 ,10 ,88.8 ,10 ,88.8 
San Antonio ,& ,96761 ,1269 ,1311.5 ,36 ,37.2 ,79 ,81.6 ,79 ,81.6 
San Esteban ,& ,20643 ,215 ,1041.5 ,3 ,14.5 ,14 ,67.8 ,14 ,67.8 
San Felipe ,& ,83494 ,1080 ,1293.5 ,27 ,32.3 ,30 ,35.9 ,28 ,33.5 
Santa Maria ,& ,16367 ,230 ,1405.3 ,5 ,30.5 ,16 ,97.8 ,16 ,97.8 
Santo Domingo ,& ,11934 ,145 ,1215.0 ,1 ,8.4 ,2 ,16.8 ,2 ,16.8 
Valparaiso ,& ,315732 ,3962 ,1254.9 ,88 ,27.9 ,297 ,94.1 ,296 ,93.8 
Villa Alemana ,& ,139310 ,1451 ,1041.6 ,19 ,13.6 ,63 ,45.2 ,63 ,45.2 
Vina del Mar ,& ,361371 ,3699 ,1023.6 ,97 ,26.8 ,200 ,55.3 ,200 ,55.3 
Zapallar ,& ,7994 ,75 ,938.2 ,2 ,25.0 ,6 ,75.1 ,6 ,75.1 
Desconocido ,& ,- ,421 ,- ,O ,- ,47 ,- ,47 ,- 
Total ,,1960170 ,22671 ,1156.6 ,525 ,26.8 ,1522 ,77.6 ,1514 ,77.2 
