Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,& ,7405 ,186 ,2511.8 ,3 ,40.5 ,23 ,310.6 ,23 ,310.6 
Buin ,& ,109641 ,2296 ,2094.1 ,74 ,67.5 ,90 ,82.1 ,89 ,81.2 
Calera de Tango ,& ,28525 ,563 ,1973.7 ,7 ,24.5 ,18 ,63.1 ,18 ,63.1 
Cerrillos ,& ,88956 ,2981 ,3351.1 ,75 ,84.3 ,107 ,120.3 ,105 ,118.0 
Cerro Navia ,& ,142465 ,6315 ,4432.7 ,239 ,167.8 ,136 ,95.5 ,136 ,95.5 
Colina ,& ,180353 ,4496 ,2492.9 ,105 ,58.2 ,67 ,37.1 ,67 ,37.1 
Conchali ,& ,139195 ,6012 ,4319.1 ,213 ,153.0 ,125 ,89.8 ,124 ,89.1 
Curacavi ,& ,36430 ,854 ,2344.2 ,16 ,43.9 ,38 ,104.3 ,38 ,104.3 
EI Bosque ,& ,172000 ,6303 ,3664.5 ,196 ,114.0 ,186 ,108.1 ,185 ,107.6 
EI Monte ,& ,40014 ,1148 ,2869.0 ,39 ,97.5 ,47 ,117.5 ,47 ,117.5 
Estacion Central ,& ,206792 ,6084 ,2942.1 ,137 ,66.3 ,127 ,61.4 ,127 ,61.4 
Huechuraba ,& ,112528 ,3723 ,3308.5 ,133 ,118.2 ,110 ,97.8 ,110 ,97.8 
Independencia ,& ,142065 ,6316 ,4445.9 ,231 ,162.6 ,121 ,85.2 ,119 ,83.8 
Isla de Maipo ,& ,40171 ,986 ,2454.5 ,17 ,42.3 ,122 ,303.7 ,122 ,303.7 
La Cisterna ,& ,100434 ,3126 ,3112.5 ,108 ,107.5 ,82 ,81.6 ,82 ,81.6 
La Florida ,& ,402433 ,13274 ,3298.4 ,443 ,110.1 ,282 ,70.1 ,281 ,69.8 
La Granja ,& ,122557 ,6876 ,5610.5 ,189 ,154.2 ,121 ,98.7 ,121 ,98.7 
La Pintana ,& ,189335 ,9879 ,5217.7 ,297 ,156.9 ,256 ,135.2 ,254 ,134.2 
La Reina ,& ,100252 ,2152 ,2146.6 ,85 ,84.8 ,45 ,44.9 ,43 ,42.9 
Lampa ,& ,126898 ,3411 ,2688.0 ,50 ,39.4 ,76 ,59.9 ,76 ,59.9 
Las Condes ,& ,330759 ,5688 ,1719.7 ,276 ,83.4 ,126 ,38.1 ,125 ,37.8 
Lo Barnechea ,& ,124076 ,3187 ,2568.6 ,68 ,54.8 ,65 ,52.4 ,64 ,51.6 
Lo Espejo ,& ,103865 ,4137 ,3983.1 ,181 ,174.3 ,120 ,115.5 ,119 ,114.6 
