Pucon,29782,85,285.4,0,0.0,6,20.1,6,20.1
Puren ,& 12188 ,42 ,344.6 ,1 ,8.2 ,2 ,16.4 ,2 ,16.4 
Renaico ,10833 ,61 ,563.1 ,1 ,9.2 ,8 ,73.8 ,8 ,73.8 
Saavedra ,12793 ,99 ,773.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Temuco ,& 302931 ,1182 ,390.2 ,24 ,7.9 ,77 ,25.4 ,77 ,25.4 
Teodoro Schmidt ,15786 ,31 ,196.4 ,1 ,6.3 ,O ,0.0 ,0 ,0.0 
Tolten ,10055 ,18 ,179.0 ,O ,0.0 ,1 ,9.9 ,1 ,9.9 
Traiguen ,19314 ,57 ,295.1 ,O ,0.0 ,11 ,57.0 ,11 ,57.0 
Victoria ,& 35467 ,204 ,575.2 ,7 ,19.7 ,17 ,47.9 ,17 ,47.9 
Vilcun ,30766 ,146 ,474.5 ,2 ,6.5 ,16 ,52.0 ,16 ,52.0 
Villarrica ,59103 ,107 ,181.0 ,1 ,1.7 ,4 ,6.8 ,4 ,6.8 
Desconocido ,& - ,2 ,- ,0 ,- ,0 ,- ,0 ,- 
Total ,1014343 ,4115 ,405.7 ,71 ,7.0 ,310 ,30.6 ,309 ,30.5 
