Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,9533 ,49.0 ,30.7 
XV Arica y Parinacota ,60 ,23.8 ,16.2 
ITarapaca ,168 ,43.9 ,38.3 
II Antofagasta ,352 ,50.9 ,46.5 
III Atacama ,12 ,3.8 ,2.6 
IV Coquimbo ,74 ,8.9 ,5.1 
VValparaiso ,507 ,25.9 ,13.7 
Region Metropolitana ,7599 ,93.5 ,637 
VI O'Higgins ,238 ,24.0 ,14.0 
VII Maule ,178 ,15.7 ,88 
XVI De Nuble ,62 ,121 ,6.1 
VIII Del Biobio ,120 ,7.2 ,4.4 
IX Araucania ,78 ,7.7 ,41 
XIV Los Rios ,14 ,3.4 ,2.0 
X Los Lagos ,41 ,4.6 ,2.6 
XI Aysen ,1 ,0.9 ,11 
XII Magallanesy la Antartica ,28 ,15.7 ,9.3 
Ignorada ,1 ,0.0 ,00 
