ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,4699 ,1863.9 ,974 ,386.3 
Region de Tarapaca ,382773 ,8928 ,2332.5 ,936 ,244.5 
Region de Antofagasta ,691854 ,15429 ,2230.1 ,1168 ,168.8 
Region de Atacama ,314709 ,2747 ,872.9 ,724 ,230.1 
Region de Coquimbo ,836096 ,7063 ,844.8 ,1090 ,130.4 
Region de Valparaiso ,1960170 ,22671 ,1156.6 ,1514 ,77.2 
Region Metropolitana de Santiago ,8125072 ,283672 ,3491.3 ,7010 ,86.3 
Region del Libertador General Bernardo OHiggins ,991063 ,12551 ,1266.4 ,929 ,93.7 
Region del Maule ,1131939 ,9770 ,863.1 ,1012 ,89.4 
Region del Nuble ,511551 ,4357 ,851.7 ,283 ,55.3 
Region del Biobio ,1663696 ,12332 ,741.2 ,1486 ,89.3 
Region de la Araucania ,1014343 ,4115 ,405.7 ,309 ,30.5 
Region de LOs Rios ,405835 ,940 ,231.6 ,70 ,17.2 
Region de Los Lagos ,891440 ,4043 ,453.5 ,890 ,99.8 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,78 ,72.7 ,10 ,9.3 
Region de Magallanes y la Antartica Chilena ,178362 ,1793 ,1005.3 ,130 ,72.9 
Desconocido ,- ,73 ,- ,1 ,- 
Total pais ,19458310 ,395261 ,2031.3 ,18536 ,95.3 
