mayo,,,,,,,,Numerode,Casos,segun,Fechade,Iniciode,Sintomas,(segun,semana,epidemiologica),
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Algarrobo ,15174 ,10 ,65.9 ,1 ,6.6 ,1 ,6.6 ,O 0 ,1 ,4 ,4 ,O ,0 ,0 ,1 ,O ,O 
Cabildo ,20663 ,5 ,24.2 ,5 ,24.2 ,5 ,24.2 ,O 0 ,O ,O ,0 ,0 ,0 ,O ,4 ,1 ,O 
Calera ,53591 ,22 ,41.1 ,2 ,3.7 ,2 ,3.7 ,O O ,O ,1 ,6 ,2 ,4 ,7 ,2 ,O ,O 
Calle Larga ,16482 ,6 ,36.4 ,0 ,0.0 ,O ,0.0 ,0 0 ,0 ,O ,O ,2 ,3 ,1 ,O ,O ,O 
Cartagena ,25357 ,9 ,35.5 ,4 ,15.8 ,4 ,15.8 ,O 0 ,O ,O ,0 ,2 ,O ,3 ,4 ,O ,O 
Casablanca ,29170 ,3 ,10.3 ,O ,0.0 ,O ,0.0 ,O O ,O ,1 ,0 ,1 ,1 ,0 ,O ,O ,O 
Catemu ,15213 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 ,O O ,O ,O ,O ,O ,O ,O ,O ,1 ,O 
Con Con ,45889 ,20 ,43.6 ,6 ,13.1 ,6 ,13.1 ,0 O ,O ,2 ,7 ,1 ,1 ,O ,8 ,1 ,O 
EI Quisco ,17742 ,12 ,67.6 ,1 ,5.6 ,1 ,5.6 ,O 0 ,O ,1 ,O ,4 ,2 ,4 ,O ,1 ,0 
EI Tabo ,14338 ,13 ,90.7 ,3 ,20.9 ,3 ,20.9 ,O O ,O ,0 ,5 ,0 ,2 ,3 ,3 ,O ,O 
Hijuelas ,19099 ,1 ,5.2 ,0 ,0.0 ,O ,0.0 ,O 0 ,O ,0 ,0 ,O ,1 ,0 ,O ,O ,O 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,0 0 ,O ,2 ,1 ,2 ,0 ,O ,O ,O ,O 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 ,O ,O ,0 ,O ,O ,0 ,O ,O ,O 
La Cruz ,25321 ,10 ,39.5 ,2 ,7.9 ,2 ,7.9 ,O 1 ,O ,1 ,2 ,3 ,1 ,O ,1 ,1 ,O 
La Ligua ,37739 ,3 ,7.9 ,1 ,2.6 ,1 ,2.6 ,0 O ,O ,1 ,O ,1 ,0 ,O ,O ,1 ,O 
Limache ,49931 ,22 ,44.1 ,0 ,0.0 ,0 ,0.0 ,O 0 ,O ,2 ,0 ,5 ,9 ,6 ,O ,O ,0 
Llaillay ,26533 ,4 ,15.1 ,2 ,7.5 ,2 ,7.5 ,O 0 ,O ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 
Los Andes ,68093 ,9 ,13.2 ,2 ,2.9 ,2 ,2.9 ,O O ,O ,2 ,2 ,0 ,3 ,0 ,2 ,O ,O 
Nogales ,23490 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 ,O ,O ,O ,O ,0 ,O ,O ,O ,O 
Olmue ,19266 ,2 ,10.4 ,0 ,0.0 ,O ,0.0 ,O 0 ,0 ,O ,0 ,2 ,0 ,O ,O ,O ,0 
Panquehue ,7633 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O ,O ,0 ,0 ,0 ,0 ,O ,O ,O ,0 
