,,,,,,,,Numerode,Casos,segunFechade,Iniciode,Sintomas,(segun,semana,epidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 13 ,14 ,15 ,16 ,17 ,18 19 
Alhue ,7405 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 ,0 0 ,0 ,0 ,0 ,0 ,0 0 
Buin ,109641 ,92 ,83.9 ,34 ,31.0 ,33 ,30.1 ,0 0 ,1 ,4 17 ,8 ,14 ,13 ,17 ,18 0 
Calera de Tango ,28525 ,17 ,59.6 ,1 ,3.5 ,1 ,3.5 ,0 0 ,0 ,4 4 ,1 ,1 ,5 ,1 ,1 0 
Cerrillos ,88956 ,241 ,270.9 ,171 ,192.2 ,169 ,190.0 ,O 1 ,2 ,4 9 ,13 ,19 ,19 ,58 ,116 0 
Cerro Navia ,142465 ,227 ,159.3 ,103 ,72.3 ,103 ,72.3 ,O 0 ,9 ,12 12 ,12 ,36 ,40 ,57 ,49 0 
Colina ,180353 ,152 ,84.3 ,49 ,27.2 ,48 ,26.6 ,0 4 ,6 ,27 16 ,17 ,15 ,17 ,26 ,23 1 
Conchali ,139195 ,295 ,211.9 ,150 ,107.8 ,150 ,107.8 ,O 0 ,1 ,15 12 ,17 ,30 ,60 ,84 ,76 O 
Curacavi ,36430 ,23 ,63.1 ,8 ,22.0 ,8 ,22.0 ,0 0 ,1 ,2 4 ,4 ,4 ,0 ,3 ,5 O 
EI Bosque & ,172000 ,275 ,159.9 ,114 ,66.3 ,114 ,66.3 ,0 0 ,2 ,14 21 ,27 ,45 ,44 ,76 ,46 0 
EI Monte ,40014 ,21 ,52.5 ,8 ,20.0 ,8 ,20.0 ,0 0 ,O ,1 1 ,6 ,4 ,0 ,7 ,2 0 
Estacion Central ,206792 ,447 ,216.2 ,252 ,121.9 ,252 ,121.9 ,O 2 ,2 ,11 27 ,31 ,38 ,73 ,136 ,127 O 
Huechuraba ,112528 ,150 ,133.3 ,55 ,48.9 ,55 ,48.9 ,0 O ,4 ,19 7 ,16 ,17 ,27 ,27 ,33 0 
Independencia ,142065 ,594 ,418.1 ,356 ,250.6 ,354 ,249.2 ,1 O ,3 ,14 8 ,19 ,43 ,133 ,240 ,133 0 
Isla de Maipo ,40171 ,15 ,37.3 ,4 ,10.0 ,4 ,10.0 ,0 0 ,0 ,2 1 ,6 ,2 ,0 ,3 ,1 0 
La Cisterna& ,100434 ,143 ,142.4 ,64 ,63.7 ,64 ,63.7 ,0 0 ,0 ,10 11 ,15 ,18 ,22 ,49 ,18 0 
La Florida ,402433 ,578 ,143.6 ,265 ,65.8 ,262 ,65.1 ,0 2 ,12 ,27 56 ,54 ,60 ,89 ,135 ,143 O 
La Granja ,122557 ,193 ,157.5 ,107 ,87.3 ,107 ,87.3 ,0 0 ,1 ,6 13 ,26 ,19 ,16 ,54 ,58 O 
La Pintanal ,189335 ,345 ,182.2 ,156 ,82.4 ,156 ,82.4 ,1 0 ,3 ,6 17 ,26 ,43 ,79 ,113 ,57 O 
La Reina ,100252 ,136 ,135.7 ,66 ,65.8 ,66 ,65.8 ,1 0 ,12 ,14 11 ,14 ,6 ,11 ,35 ,32 0 
Lampa ,126898 ,117 ,92.2 ,49 ,38.6 ,49 ,38.6 ,O O ,0 ,8 13 ,14 ,11 ,17 ,30 ,24 0 
Las Condes ,330759 ,477 ,144.2 ,134 ,40.5 ,133 ,40.2 ,0 6 ,59 ,121 65 ,36 ,27 ,24 ,52 ,85 1 
