LoBarnechea,124076,273,220.0,92,74.1,92,74.1,0214,5226,16,34,33,59,360
Lo Espejo ,103865 ,162 ,156.0 ,75 ,72.2 ,75 ,72.2 ,0 0 1 ,4 7 ,22 ,26 ,21 ,51 ,30 0 
Lo Prado ,104403 ,210 ,201.1 ,118 ,113.0 ,118 ,113.0 ,O 1 2 ,5 19 ,12 ,20 ,27 ,88 ,36 0 
Macul ,134635 ,181 ,134.4 ,90 ,66.8 ,89 ,66.1 ,0 1 3 ,12 21 ,16 ,11 ,16 ,58 ,43 0 
Maipu ,578605 ,580 ,100.2 ,195 ,33.7 ,195 ,33.7 ,0 O 13 ,46 66 ,75 ,73 ,99 ,111 ,97 O 
Maria Pinto ,14926 ,3 ,20.1 ,2 ,13.4 ,2 ,13.4 ,0 0 0 ,0 0 ,0 ,1 ,0 ,2 ,0 O 
Melipilla ,141612 ,110 ,77.7 ,63 ,44.5 ,63 ,44.5 ,0 1 1 ,4 6 ,5 ,8 ,21 ,29 ,35 0 
Nunoa ,250192 ,365 ,145.9 ,92 ,36.8 ,92 ,36.8 ,1 1 26 ,52 37 ,46 ,45 ,61 ,57 ,39 O 
Padre Hurtado ,74188 ,66 ,89.0 ,25 ,33.7 ,25 ,33.7 ,O 1 O ,5 9 ,5 ,11 ,8 ,14 ,13 O 
Paine ,82766 ,26 ,31.4 ,12 ,14.5 ,12 ,14.5 ,0 1 1 ,2 0 ,4 ,4 ,2 ,5 ,7 0 
Pedro Aguirre Cerda ,107803 ,229 ,212.4 ,112 ,103.9 ,112 ,103.9 ,0 0 3 ,4 14 ,20 ,42 ,33 ,68 ,45 0 
Pefaflor ,101058 ,76 ,75.2 ,32 ,31.7 ,32 ,31.7 ,0 1 4 ,3 9 ,4 ,7 ,14 ,22 ,12 0 
Penalolen ,266798 ,404 ,151.4 ,182 ,68.2 ,182 ,68.2 ,0 3 9 ,25 33 ,36 ,50 ,61 ,96 ,91 0 
Pirque ,30433 ,43 ,141.3 ,27 ,88.7 ,27 ,88.7 ,O 0 3 ,1 3 ,1 ,5 ,3 ,13 ,14 0 
Providencia ,157749 ,250 ,158.5 ,53 ,33.6 ,53 ,33.6 ,0 3 29 ,62 21 ,21 ,31 ,27 ,29 ,27 0 
Pudahuel ,253139 ,288 ,113.8 ,127 ,50.2 ,127 ,50.2 ,1 1 2 ,20 22 ,30 ,37 ,37 ,95 ,42 1 
Puente Alto ,645909 ,1129 ,174.8 ,399 ,61.8 ,398 ,61.6 ,1 1 7 ,54 95 ,150 ,171 ,224 ,216 ,210 0 
Quilicura ,254694 ,546 ,214.4 ,278 ,109.2 ,278 ,109.2 ,O 2 3 ,20 24 ,38 ,38 ,126 ,198 ,97 0 
Quinta Normal& ,136368 ,306 ,224.4 ,132 ,96.8 ,132 ,96.8 ,0 2 4 ,13 24 ,35 ,47 ,44 ,83 ,54 0 
Recoleta ,190075 ,602 ,316.7 ,387 ,203.6 ,387 ,203.6 ,1 0 5 ,15 16 ,30 ,43 ,86 ,214 ,191 1 
Renca ,160847 ,255 ,158.5 ,133 ,82.7 ,133 ,82.7 ,O O 4 ,7 11 ,7 ,30 ,59 ,85 ,52 O 
San Bernardo ,334836 ,544 ,162.5 ,214 ,63.9 ,214 ,63.9 ,1 1 6 ,20 36 ,64 ,70 ,115 ,130 ,101 0 
San Joaquin ,103485 ,267 ,258.0 ,136 ,131.4 ,136 ,131.4 ,1 0 1 ,14 22 ,13 ,37 ,38 ,65 ,76 0 
San Jose de Maipo ,18644 ,23 ,123.4 ,17 ,91.2 ,16 ,85.8 ,0 0 1 ,1 1 ,1 ,1 ,0 ,4 ,14 0 
San Miguel ,133059 ,255 ,191.6 ,90 ,67.6 ,90 ,67.6 ,0 0 3 ,24 21 ,24 ,43 ,43 ,58 ,39 0 
San Pedro ,11953 ,10 ,83.7 ,8 ,66.9 ,8 ,66.9 ,0 0 0 ,0 0 ,O ,0 ,1 ,7 ,2 O 
San Ramon ,86510 ,220 ,254.3 ,147 ,169.9 ,146 ,168.8 ,0 O 0 ,2 10 ,7 ,11 ,39 ,84 ,67 0 
Santiago ,503147 ,1294 ,257.2 ,610 ,121.2 ,608 ,120.8 ,2 0 27 ,95 91 ,130 ,150 ,161 ,307 ,331 O 
