,,mayo,,,,,,Numero,deCasos,segun,Fechade,Iniciode,Sintomas,(segun,semana,epidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
Angol ,56058 ,110 ,196.2 ,29 ,51.7 ,29 ,51.7 ,0 1 ,1 ,3 ,10 ,10 ,17 ,34 ,30 ,4 
Carahue ,25486 ,34 ,133.4 ,4 ,15.7 ,4 ,15.7 ,O O ,0 ,1 ,3 ,9 ,9 ,7 ,5 ,O 
Cholcho ,12341 ,6 ,48.6 ,O ,0.0 ,O ,0.0 ,O O ,O ,1 ,3 ,O ,1 ,1 ,O ,O 
Collipulli ,26148 ,4 ,15.3 ,2 ,7.6 ,2 ,7.6 ,0 O ,0 ,0 ,O ,0 ,1 ,1 ,2 ,0 
Cunco ,18055 ,5 ,27.7 ,0 ,0.0 ,0 ,0.0 ,O O ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,O 
Curacautin ,18178 ,6 ,33.0 ,2 ,11.0 ,2 ,11.0 ,0 O ,0 ,2 ,O ,2 ,0 ,0 ,2 ,O 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,O ,0.0 ,O O ,1 ,1 ,2 ,0 ,0 ,0 ,O ,O 
Ercilla ,8458 ,10 ,118.2 ,1 ,11.8 ,1 ,11.8 ,O O ,O ,0 ,O ,3 ,1 ,4 ,1 ,1 
Freire ,25446 ,7 ,27.5 ,0 ,0.0 ,O ,0.0 ,0 0 ,0 ,2 ,3 ,0 ,0 ,2 ,0 ,0 
Galvarino ,12633 ,2 ,15.8 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
Gorbea ,15148 ,12 ,79.2 ,0 ,0.0 ,O ,0.0 ,O 0 ,1 ,4 ,4 ,1 ,0 ,2 ,0 ,O 
Lautaro ,40746 ,40 ,98.2 ,2 ,4.9 ,2 ,4.9 ,1 O ,0 ,6 ,4 ,12 ,7 ,6 ,2 ,2 
Loncoche ,24739 ,18 ,72.8 ,4 ,16.2 ,4 ,16.2 ,0 O ,0 ,2 ,2 ,2 ,5 ,3 ,3 ,1 
Lonquimay ,11049 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O ,O ,0 ,0 ,0 ,0 ,0 ,O ,0 
LOs Sauces ,7517 ,1 ,13.3 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,O ,1 ,O ,O 
Lumaco ,10050 ,6 ,59.7 ,2 ,19.9 ,2 ,19.9 ,0 O ,0 ,0 ,O ,0 ,0 ,4 ,2 ,0 
Melipeuco ,6265 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 ,O ,0 ,0 ,0 ,0 ,0 ,O 
Nueva Imperial ,33777 ,47 ,139.1 ,3 ,8.9 ,3 ,8.9 ,0 0 ,0 ,6 ,11 ,6 ,13 ,7 ,3 ,1 
Padre Las Casas ,82110 ,99 ,120.6 ,8 ,9.7 ,8 ,9.7 ,O O ,0 ,12 ,28 ,22 ,13 ,15 ,9 ,0 
Perquenco ,7223 ,5 ,69.2 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 ,1 ,1 ,0 ,0 ,3 ,0 ,0 
Pitrufquen ,26096 ,20 ,76.6 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 ,4 ,9 ,5 ,0 ,2 ,0 ,0 
Pucon ,29782 ,14 ,47.0 ,1 ,3.4 ,1 ,3.4 ,O O ,1 ,3 ,O ,4 ,3 ,1 ,2 ,0 
