,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas(segun,semana,epidemiologica),
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 12 ,13 14 ,15 16 ,17 ,18 ,
Ancud ,42458 ,15 ,35.3 ,6 ,14.1 ,6 ,14.1 ,0 O ,0 O ,1 0 ,5 3 ,1 ,5 ,
Calbuco ,36744 ,7 ,19.1 ,0 ,0.0 ,O ,0.0 ,0 0 ,0 3 ,1 1 ,1 1 ,0 ,O ,
Castro ,47607 ,8 ,16.8 ,1 ,2.1 ,0 ,0.0 ,0 0 ,0 2 ,0 5 ,0 0 ,0 ,1 ,
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,1 0 ,0 O ,0 ,0 ,
Chonchi ,16013 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O ,O O ,O 0 ,O 0 ,O ,O ,
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,O 0 ,1 0 ,0 ,0 ,
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 0 ,0 0 ,0 ,0 ,
Dalcahue ,15069 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 O ,0 0 ,0 0 ,0 ,0 ,
Fresia ,12656 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 O ,O 0 ,0 0 ,0 ,0 ,
Frutillar ,20223 ,6 ,29.7 ,0 ,0.0 ,O ,0.0 ,O O ,0 O ,1 3 ,2 0 ,0 ,0 ,
Futaleufu ,2806 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 O ,0 0 ,0 0 ,0 ,0 ,
Hualaihue ,9525 ,3 ,31.5 ,O ,0.0 ,0 ,0.0 ,0 O ,0 0O ,3 O ,O O ,O ,0 ,
Llanquihue ,18621 ,1 ,5.4 ,0 ,0.0 ,O ,0.0 ,O 0 ,0 O ,1 0 ,O O ,0 ,0 ,
Los Muermos ,17817 ,1 ,5.6 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 1 ,O 0 ,O 0 ,O ,0 ,
Maullin ,14894 ,1 ,6.7 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 O ,0 0 ,1 0 ,0 ,0 ,
Osorno ,173410 ,315 ,181.7 ,25 ,14.4 ,25 ,14.4 ,0 0 ,3 58 ,103 64 ,37 19 ,15 ,15 ,
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 O ,0 0 ,O O ,0 ,O ,
Puerto Montt ,269398 ,52 ,19.3 ,0 ,0.0 ,0 ,0.0 ,0 1 ,1 13 ,18 11 ,3 5 ,0 ,0 ,
Puerto Octay ,9192 ,3 ,32.6 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 1 ,0 0 ,0 1 ,1 ,0 ,
Puerto Varas ,48620 ,8 ,16.5 ,O ,0.0 ,0 ,0.0 ,0 0 ,1 0 ,2 3 ,2 0 ,0 ,0 ,
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 ,O O ,O 0 ,O O ,O ,O ,
Purranque ,21080 ,23 ,109.1 ,2 ,9.5 ,2 ,9.5 ,0 0 ,0 O ,3 12 ,5 1 ,2 ,0 ,
