,,,,,,,,NumerodeCasossegunFechadeIniciodeSintomas(segunsemanaepidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 11 12 13 14 15 16 17 18 19 
Alto del Carmen ,5729 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 0 O O O 0 O O 
Caldera ,19426 ,1 ,5.1 ,1 ,5.1 ,1 ,5.1 ,0 O O 0 0 O 0 0 0 1 0 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 0 
Copiapo ,171766 ,34 ,19.8 ,26 ,15.1 ,26 ,15.1 ,0 O 1 0 2 1 4 O 12 14 O 
Diego de Almagro ,14358 ,2 ,13.9 ,1 ,7.0 ,1 ,7.0 ,0 O O 0 1 O O 0 0 1 0 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,0 O O 0 O O O 1 O O 0 
Huasco ,11264 ,1 ,8.9 ,1 ,8.9 ,1 ,8.9 ,O O O O O O O O O 1 0 
Tierra Amarilla ,14312 ,9 ,62.9 ,4 ,27.9 ,4 ,27.9 ,0 O O 0 0 2 3 O 2 2 0 
Vallenar ,57009 ,24 ,42.1 ,14 ,24.6 ,14 ,24.6 ,0 O 0 0 O O 1 8 9 6 0 
Total ,314709 ,72 ,22.9 ,47 ,14.9 ,47 ,14.9 ,0 0 1 0 3 3 8 9 23 25 0 
