,,,,,,,,Numerode,Casos,segunFecha,de,Iniciode,Sintomas,(segun,semana,epidemiologica),
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Andacollo ,11791 ,2 ,17.0 ,2 ,17.0 ,2 ,17.0 ,O O ,O ,O ,O ,O ,O ,O ,O ,2 ,O 
Canela ,9546 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,O ,O ,O ,O ,O ,0 ,O ,O 
Combarbala ,13884 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 ,O ,O ,0 ,O ,0 ,O ,0 ,O ,O 
Coquimbo ,256735 ,31 ,12.1 ,8 ,3.1 ,8 ,3.1 ,O O ,4 ,13 ,3 ,1 ,0 ,2 ,4 ,4 ,O 
Illape ,32801 ,19 ,57.9 ,1 ,3.0 ,1 ,3.0 ,O 0 ,O ,0 ,4 ,7 ,7 ,O ,O ,1 ,O 
La Higuera ,4450 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,O ,O ,O ,0 ,O ,O ,O ,O 
La Serena ,249656 ,27 ,10.8 ,9 ,3.6 ,9 ,3.6 ,O 0 ,1 ,3 ,6 ,4 ,1 ,2 ,3 ,7 ,O 
Los Vilos ,23374 ,1 ,4.3 ,O ,0.0 ,0 ,0.0 ,O 0 ,O ,1 ,O ,0 ,O ,O ,O ,O ,O 
Monte Patria ,32527 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O ,O ,O ,O ,O ,0 ,O ,O ,O ,O 
Ovalle ,121269 ,11 ,9.1 ,2 ,1.6 ,2 ,1.6 ,O 0 ,2 ,2 ,4 ,1 ,0 ,O ,1 ,1 ,O 
Paiguano ,4675 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O ,0 ,O ,O ,0 ,O ,O ,O ,O 
Punitaqui ,12165 ,3 ,24.7 ,2 ,16.4 ,2 ,16.4 ,O 0 ,O ,O ,O ,O ,0 ,1 ,1 ,1 ,O 
Rio Hurtado ,4372 ,1 ,22.9 ,O ,0.0 ,0 ,0.0 ,O O ,O ,1 ,O ,O ,O ,O ,O ,O ,O 
Salamanca ,29110 ,8 ,27.5 ,1 ,3.4 ,1 ,3.4 ,O 0 ,O ,1 ,2 ,1 ,2 ,1 ,0 ,1 ,0 
Vicuna ,29741 ,1 ,3.4 ,1 ,3.4 ,1 ,3.4 ,O 0 ,O ,0 ,0 ,O ,0 ,O ,1 ,O ,O 
Total ,836096 ,104 ,12.4 ,26 ,3.1 ,26 ,3.1 ,0 0 ,7 ,21 ,19 ,14 ,10 ,6 ,10 ,17 ,0 
