Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& ,425725 ,6743 ,1583.9 ,111 ,26.1 ,751 ,176.4 ,751 ,176.4 
Calama ,& ,190336 ,6076 ,3192.2 ,177 ,93.0 ,401 ,210.7 ,399 ,209.6 
Maria Elena ,,6814 ,306 ,4490.8 ,10 ,146.8 ,15 ,220.1 ,15 ,220.1 
Mejillones ,& ,14776 ,451 ,3052.2 ,4 ,27.1 ,18 ,121.8 ,18 ,121.8 
Ollague ,,287 ,21 ,7317.1 ,O ,0.0 ,7 ,2439.0 ,7 ,2439.0 
San Pedro de Atacama ,,10434 ,235 ,2252.3 ,5 ,47.9 ,52 ,498.4 ,52 ,498.4 
Sierra Gorda ,,1746 ,60 ,3436.4 ,0 ,0.0 ,4 ,229.1 ,4 ,229.1 
Taltal ,,13657 ,120 ,878.7 ,2 ,14.6 ,17 ,124.5 ,17 ,124.5 
Tocopilla ,,28079 ,261 ,929.5 ,6 ,21.4 ,17 ,60.5 ,16 ,57.0 
Desconocido ,& ,- ,208 ,- ,0 ,- ,60 ,- ,60 ,- 
Total ,,691854 ,14481 ,2093.1 ,315 ,45.5 ,1342 ,194.0 ,1339 ,193.5 
