Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,10 ,174.6 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Caldera ,19426 ,70 ,360.3 ,0 ,0.0 ,22 ,113.3 ,22 ,113.3 
Chanaral ,13164 ,39 ,296.3 ,O ,0.0 ,5 ,38.0 ,5 ,38.0 
Copiapo ,& 171766 ,1335 ,777.2 ,7 ,4.1 ,310 ,180.5 ,309 ,179.9 
Diego de Almagro ,& 14358 ,52 ,362.2 ,3 ,20.9 ,2 ,13.9 ,2 ,13.9 
Freirina ,7681 ,49 ,637.9 ,0 ,0.0 ,16 ,208.3 ,16 ,208.3 
Huasco ,11264 ,26 ,230.8 ,0 ,0.0 ,1 ,8.9 ,1 ,8.9 
Tierra Amarilla ,14312 ,125 ,873.4 ,0 ,0.0 ,25 ,174.7 ,25 ,174.7 
Vallenar ,57009 ,442 ,775.3 ,O ,0.0 ,63 ,110.5 ,63 ,110.5 
Desconocido ,& - ,14 ,- ,0 ,- ,2 ,- ,2 ,- 
Total ,314709 ,2162 ,687.0 ,10 ,3.2 ,446 ,141.7 ,445 ,141.4 
