Papudo,&,6201,78,1257.9,1,16.1,2,32.3,2,32.3
Petorca ,& ,10558 ,80 ,757.7 ,1 ,9.5 ,4 ,37.9 ,4 ,37.9 
Puchuncavi ,& ,20071 ,154 ,767.3 ,4 ,19.9 ,3 ,14.9 ,3 ,14.9 
Putaendo ,& ,17645 ,203 ,1150.5 ,5 ,28.3 ,11 ,62.3 ,11 ,62.3 
Quillota ,& ,97572 ,1401 ,1435.9 ,31 ,31.8 ,93 ,95.3 ,92 ,94.3 
Quilpue ,& ,167085 ,1437 ,860.0 ,30 ,18.0 ,94 ,56.3 ,94 ,56.3 
Quintero ,& ,36135 ,369 ,1021.2 ,8 ,22.1 ,26 ,72.0 ,26 ,72.0 
Rinconada ,& ,11263 ,161 ,1429.5 ,4 ,35.5 ,13 ,115.4 ,13 ,115.4 
San Antonio ,& ,96761 ,1208 ,1248.4 ,33 ,34.1 ,85 ,87.8 ,85 ,87.8 
San Esteban ,& ,20643 ,207 ,1002.8 ,2 ,9.7 ,24 ,116.3 ,24 ,116.3 
San Felipe ,& ,83494 ,1058 ,1267.2 ,24 ,28.7 ,49 ,58.7 ,48 ,57.5 
Santa Maria ,& ,16367 ,214 ,1307.5 ,5 ,30.5 ,21 ,128.3 ,21 ,128.3 
Santo Domingo ,& ,11934 ,144 ,1206.6 ,1 ,8.4 ,3 ,25.1 ,3 ,25.1 
Valparaiso ,& ,315732 ,3693 ,1169.7 ,80 ,25.3 ,306 ,96.9 ,305 ,96.6 
Villa Alemana ,& ,139310 ,1395 ,1001.4 ,18 ,12.9 ,93 ,66.8 ,92 ,66.0 
Vina del Mar ,& ,361371 ,3504 ,969.6 ,90 ,24.9 ,233 ,64.5 ,232 ,64.2 
Zapallar ,& ,7994 ,68 ,850.6 ,2 ,25.0 ,11 ,137.6 ,11 ,137.6 
Desconocido ,& ,- ,408 ,- ,O ,- ,63 ,- ,63 ,- 
Total ,,1960170 ,21367 ,1090.1 ,475 ,24.2 ,1712 ,87.3 ,1705 ,87.0 
