Nunoa,&1127,55,43,48,48,67,71,155,371,536,756,659,654,565,423,313,206,181,72,26O
Padre Hurtado ,& 0 1 O ,5 ,10 ,5 ,13 ,10 ,16 ,61 ,98 ,171 ,251 ,232 ,279 ,233 ,187 ,175 ,122 ,106 ,34 ,8 O 
Paine ,& 0 1 O ,3 ,0 ,4 ,8 ,3 ,5 ,29 ,83 ,86 ,133 ,152 ,273 ,238 ,209 ,196 ,183 ,107 ,58 ,4 O 
Pedro Aguirre Cerda ,& 0 0 3 ,7 ,15 ,25 ,47 ,32 ,74 ,179 ,366 ,430 ,399 ,513 ,577 ,429 ,345 ,233 ,220 ,139 ,92 ,8 0 
Penaflor ,& 1 2 5 ,3 ,9 ,6 ,10 ,15 ,28 ,59 ,109 ,213 ,310 ,315 ,341 ,335 ,328 ,208 ,151 ,208 ,60 ,5 O 
Penalolen ,& 1 2 9 ,30 ,36 ,41 ,53 ,71 ,122 ,406 ,984 ,1336 ,1657 ,1596 ,1432 ,1114 ,843 ,581 ,445 ,326 ,173 ,23 O 
Pirque ,& 0 1 3 ,1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,161 ,153 ,117 ,113 ,84 ,76 ,75 ,38 ,21 ,2 O 
Providencia ,& 0 3 28 ,64 ,22 ,24 ,35 ,42 ,40 ,96 ,284 ,320 ,397 ,431 ,296 ,237 ,209 ,175 ,153 ,117 ,55 ,12 O 
Pudahuel ,& 1 1 3 ,20 ,27 ,37 ,44 ,47 ,138 ,366 ,669 ,1018 ,1296 ,1268 ,1330 ,874 ,748 ,507 ,392 ,325 ,233 ,24 0 
Puente Alto ,& 2 4 12 ,65 ,105 ,186 ,208 ,333 ,383 ,864 ,1578 ,2215 ,2578 ,2599 ,2823 ,2394 ,1891 ,1443 ,1036 ,696 ,433 ,45 0 
Quilicura ,& 0 3 3 ,21 ,30 ,44 ,47 ,143 ,332 ,555 ,822 ,960 ,897 ,1043 ,1106 ,895 ,653 ,406 ,324 ,227 ,138 ,23 O 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,99 ,267 ,465 ,589 ,714 ,775 ,669 ,538 ,414 ,318 ,256 ,245 ,84 ,17 O 
Recoleta ,& 0 0 7 ,14 ,17 ,41 ,46 ,117 ,284 ,744 ,1183 ,1128 ,995 ,877 ,780 ,584 ,509 ,301 ,247 ,176 ,75 ,14 O 
Renca ,& 0 O 5 ,7 ,11 ,8 ,36 ,68 ,111 ,298 ,633 ,742 ,842 ,791 ,851 ,809 ,899 ,609 ,498 ,404 ,220 ,6 O 
San Bernardo ,& O 1 6 ,24 ,42 ,67 ,80 ,124 ,162 ,342 ,663 ,898 ,1074 ,1306 ,1429 ,1235 ,1072 ,827 ,581 ,431 ,192 ,20 O 
San Joaquin ,& 0 0 1 ,17 ,23 ,15 ,34 ,44 ,84 ,229 ,505 ,648 ,471 ,496 ,568 ,476 ,351 ,268 ,199 ,181 ,141 ,20 O 
San Jose de Maipo ,& 0 0 1 ,1 ,2 ,2 ,3 ,1 ,4 ,24 ,48 ,55 ,92 ,67 ,77 ,62 ,42 ,41 ,26 ,33 ,12 ,4 O 
San Miguel ,& 1 0 3 ,27 ,23 ,28 ,47 ,49 ,79 ,206 ,447 ,519 ,618 ,601 ,643 ,476 ,445 ,260 ,218 ,166 ,110 ,9 0 
San Pedro ,& O O O ,0 ,O ,0 ,0 ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,28 ,11 ,32 ,29 ,19 ,13 ,4 ,2 O 
San Ramon ,& 0 0 1 ,2 ,11 ,11 ,13 ,42 ,90 ,250 ,455 ,554 ,534 ,462 ,552 ,421 ,306 ,202 ,185 ,169 ,84 ,6 O 
Santiago ,& 1 3 29 ,100 ,107 ,150 ,168 ,176 ,393 ,955 ,1690 ,1699 ,1849 ,1619 ,1464 ,1190 ,984 ,628 ,500 ,405 ,188 ,31 0 
Talagante ,& O O O ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,59 ,95 ,123 ,154 ,182 ,220 ,206 ,186 ,136 ,74 ,34 ,7 O 
Tiltil ,& 0 O O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,58 ,62 ,93 ,62 ,51 ,44 ,36 ,15 ,13 ,2 O 
Vitacura ,& O 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,56 ,160 ,213 ,185 ,150 ,136 ,99 ,93 ,80 ,54 ,32 ,24 ,8 O 
Desconocido ,& 0 0 7 ,10 ,19 ,55 ,177 ,363 ,585 ,754 ,1557 ,2440 ,2675 ,1815 ,1584 ,1527 ,1561 ,985 ,562 ,422 ,249 ,152 0 
Total ,15 69 352 ,1042 ,1139 ,1478 ,1932 ,2905 ,5356 ,12541 ,23538 ,30602 ,34183 ,33628 ,33913 ,27760 ,23197 ,16632 ,12643 ,9599 ,5461 ,904 0 
