Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,,6775 ,171 ,2524.0 ,O ,0.0 ,4 ,59.0 ,4 ,59.0 
Antuco ,& ,4306 ,55 ,1277.3 ,1 ,23.2 ,1 ,23.2 ,1 ,23.2 
Arauco ,& ,38679 ,326 ,842.8 ,1 ,2.6 ,37 ,95.7 ,37 ,95.7 
Cabrero ,& ,30725 ,144 ,468.7 ,2 ,6.5 ,10 ,32.5 ,10 ,32.5 
Canete ,,37003 ,78 ,210.8 ,O ,0.0 ,38 ,102.7 ,38 ,102.7 
Chiguayante ,& ,91180 ,530 ,581.3 ,10 ,11.0 ,84 ,92.1 ,84 ,92.1 
Concepcion ,& ,238092 ,1653 ,694.3 ,28 ,11.8 ,182 ,76.4 ,182 ,76.4 
Contulmo ,,6330 ,45 ,710.9 ,O ,0.0 ,2 ,31.6 ,2 ,31.6 
Coronel ,& ,125829 ,1258 ,999.8 ,5 ,4.0 ,149 ,118.4 ,149 ,118.4 
Curanilahue ,,33892 ,174 ,513.4 ,1 ,3.0 ,46 ,135.7 ,46 ,135.7 
Florida ,,11841 ,46 ,388.5 ,3 ,25.3 ,10 ,84.5 ,10 ,84.5 
Hualpen ,,97273 ,703 ,722.7 ,3 ,3.1 ,89 ,91.5 ,89 ,91.5 
Hualqui ,,26201 ,199 ,759.5 ,3 ,11.4 ,28 ,106.9 ,28 ,106.9 
Laja ,,23873 ,165 ,691.2 ,0 ,0.0 ,20 ,83.8 ,20 ,83.8 
Lebu ,,27100 ,39 ,143.9 ,0 ,0.0 ,7 ,25.8 ,7 ,25.8 
Los Alamos ,,22524 ,122 ,541.6 ,O ,0.0 ,20 ,88.8 ,20 ,88.8 
LOs Angeles ,& ,218515 ,1085 ,496.5 ,7 ,3.2 ,125 ,57.2 ,125 ,57.2 
Lota ,,45750 ,389 ,850.3 ,2 ,4.4 ,44 ,96.2 ,44 ,96.2 
Mulchen ,,31041 ,127 ,409.1 ,O ,0.0 ,17 ,54.8 ,17 ,54.8 
Nacimiento ,,27944 ,157 ,561.8 ,3 ,10.7 ,4 ,14.3 ,4 ,14.3 
Negrete ,,10429 ,131 ,1256.1 ,2 ,19.2 ,11 ,105.5 ,11 ,105.5 
