Pucon,&29782,79,265.3,0,0.0,6,20.1,6,20.1
Puren ,12188 ,38 ,311.8 ,1 ,8.2 ,5 ,41.0 ,5 ,41.0 
Renaico ,10833 ,53 ,489.2 ,1 ,9.2 ,O ,0.0 ,O ,0.0 
Saavedra ,12793 ,99 ,773.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Temuco ,& 302931 ,1121 ,370.1 ,24 ,7.9 ,63 ,20.8 ,63 ,20.8 
Teodoro Schmidt ,15786 ,31 ,196.4 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Tolten ,10055 ,17 ,169.1 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Traiguen ,& 19314 ,51 ,264.1 ,O ,0.0 ,5 ,25.9 ,5 ,25.9 
Victoria ,& 35467 ,190 ,535.7 ,7 ,19.7 ,16 ,45.1 ,16 ,45.1 
Vilcun ,30766 ,134 ,435.5 ,2 ,6.5 ,8 ,26.0 ,8 ,26.0 
Villarrica ,& 59103 ,103 ,174.3 ,O ,0.0 ,2 ,3.4 ,2 ,3.4 
Desconocido ,& - ,4 ,- ,0 ,- ,2 ,- ,2 ,- 
Total ,1014343 ,3865 ,381.0 ,69 ,6.8 ,207 ,20.4 ,205 ,20.2 
