Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,36 ,144.0 ,0 ,0.0 ,11 ,44.0 ,11 ,44.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochrane ,3685 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Coyhaique ,61210 ,30 ,49.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Guaitecas ,1599 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Lago Verde ,920 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Rio ibanez ,2699 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Tortel ,572 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Desconocido ,- ,1 ,- ,O ,- ,0 ,- ,0 ,- 
Total ,107297 ,68 ,63.4 ,0 ,0.0 ,11 ,10.3 ,11 ,10.3 
