,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,No ,% 
Cefalea ,202844 ,60.3 ,8208 ,32.4 
Mialgia ,190252 ,56.5 ,10431 ,41.1 
Tos ,189662 ,56.4 ,15361 ,60.6 
Fiebre ,121559 ,36.1 ,12120 ,47.8 
Odinofagia ,112279 ,33.4 ,4171 ,16.4 
Anosmia* ,63190 ,18.8 ,1312 ,5.2 
Ageusia* ,50112 ,14.9 ,1122 ,4.4 
Disnea ,38835 ,11.5 ,11708 ,46.2 
Diarrea ,34821 ,10.3 ,2211 ,8.7 
Dolor toracico ,31369 ,9.3 ,2950 ,11.6 
Dolor abdominal ,20577 ,6.1 ,1737 ,6.8 
Taquipnea ,3842 ,1.1 ,3625 ,14.3 
Cianosis ,351 ,0.1 ,607 ,2.4 
