Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,13203 ,67.8 ,42.5 
XV Arica y Parinacota ,87 ,34.5 ,23.5 
ITarapaca ,193 ,50.4 ,43.8 
II Antofagasta ,453 ,65.5 ,60.2 
III Atacama ,41 ,13.0 ,8.8 
IV Coquimbo ,117 ,14.0 ,8.1 
V Valparaiso ,859 ,43.8 ,23.5 
Region Metropolitana ,9764 ,120.2 ,81.9 
VI 'Higgins ,360 ,36.3 ,21.6 
VII Maule ,373 ,33.0 ,18.8 
XVI De Nuble ,113 ,22.1 ,10.9 
VIII Del Biobio ,335 ,20.1 ,12.2 
IX Araucania ,233 ,23.0 ,12.5 
XIV Los Rios ,41 ,10.1 ,5.1 
X Los Lagos ,147 ,16.5 ,10.3 
XI Aysen ,5 ,4.7 ,3.5 
XII Magallanes y la Antartica ,80 ,44.9 ,26.9 
Ignorada ,2 ,0.0 ,0.0 
,,,
