,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa confirmados (&) 
Arica y Parinacota ,252110 ,121 ,2 ,"0,8 "
Tarapaca ,382773 ,201 ,3 ,"0,8 "
Antofagasta ,691854 ,289 ,19 ,"2,7 "
Atacama ,314709 ,103 ,1 ,"0,3 "
Coquimbo ,836096 ,258 ,12 ,"1,4 "
Valparaiso ,1960170 ,978 ,31 ,"1,6 "
Metropolitana ,8125072 ,7054 ,627 ,"7,7 "
O'Higgins ,991063 ,256 ,12 ,"1,2 "
Maule ,1131939 ,677 ,30 ,"2,7 "
Nuble ,511551 ,777 ,101 ,"19,7 "
Biobio ,1663696 ,917 ,63 ,"3,8 "
Araucania ,1014343 ,525 ,59 ,"5,8 "
Los Rios ,405835 ,216 ,5 ,"1,2 "
Los Lagos ,891440 ,402 ,35 ,"3,9 "
Aisen ,107297 ,25 ,1 ,"0,9 "
Magallanes ,178362 ,183 ,11 ,"6,2 "
Tota pais ,19458310 ,12982 ,1012 ,"5,2 "
